rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,672960,Kazuma Okamoto,TOR,BAL,False,6,3B,R,official,preview,Shane Baz,R,0.78,,0.18,0.1902953144412175,0.20508237324913675,2.6419240229570926,0.97,stable,,,1,1,1,1,1,1,93,93 air · 69°F · in CF 9 · 60° dew · spray vs wall · RHB,33,613,,,,,13.3,,,,
2,624413,Pete Alonso,BAL,TOR,True,2,1B,R,official,preview,Trey Yesavage,R,0.96,,0.18,0.2151149133356529,0.23487955562252943,2.6313838024961282,0.97,stable,,,1,1,1,1,1,1,94,94 air · 69°F · in CF 9 · 60° dew · RHB,38,678,,,,,14.3,,,,
3,691723,Coby Mayo,BAL,TOR,True,4,DH,R,official,preview,Trey Yesavage,R,0.96,,0.18,0.18585984019281176,0.20025384921899622,2.512316662111688,0.97,stable,,,1,1,1,1,1,1,93,93 air · 69°F · in CF 9 · 60° dew · spray vs wall · RHB,24,433,,,,,13.6,,,,
4,695734,Daylen Lile,WSH,DET,False,2,DH,L,official,preview,River Ryan,R,,,0.1774754097134219,0.18416414516851976,0.1986292261421696,2.7541951352828646,0.61692,fair,,,1,1,1,1,1,1,99,99 air · 61°F · cross RF 12 · 53° dew · LHB,22,634,,,,,9.7,,,,
5,683002,Gunnar Henderson,BAL,TOR,True,3,SS,L,official,preview,Trey Yesavage,R,0.96,,0.17592741406197582,0.1776724228768214,0.19095897225699845,2.571850232303908,0.97,stable,,,1,1,1,1,1,1,106,106 air · 69°F · in CF 9 · 60° dew · LHB,23,686,,,,,7.4,,,,
6,687637,Dylan Beavers,BAL,TOR,True,1,LF,L,official,preview,Trey Yesavage,R,0.96,,0.161357315024601,0.16272259829507008,0.1740493989144266,2.690917372688348,0.97,stable,,,1,1,1,1,1,1,106,106 air · 69°F · in CF 9 · 60° dew · LHB,7,340,,,,,7.4,,,,
7,805805,Walker Jenkins,MIN,SF,False,1,CF,L,projected,preview,Blade Tidwell,R,1.18,,0.15637223593461824,0.16331419698518312,0.17476591409039782,3.1659235544450084,0.401424211584,thin,,,1,1,1,1,1,1,78,78 air · 59° dew · LHB,3,71,,,,,8.7,,,,
8,682674,Victor Bericoto,SF,MIN,True,3,DH,R,projected,preview,Zebby Matthews,R,1.65,,0.15070021987287474,0.15537782626918217,0.16552874353163544,2.7779018467184637,0.551131776,fair,,,1,1,1,1,1,1,78,78 air · 59° dew · RHB,5,97,,,,,14.7,,,,
9,682985,Riley Greene,DET,WSH,True,3,LF,L,official,preview,DJ Herz,L,,,0.14924321428198684,0.1531753610380272,0.1630285673309462,2.691883028149768,0.61692,fair,,,1,1,1,1,1,1,99,99 air · 61°F · cross RF 12 · 53° dew · LHB,21,570,,,,,15.3,,,,
10,695578,James Wood,WSH,DET,False,1,LF,L,official,preview,River Ryan,R,,,0.1490666393053424,0.15298154529856867,0.1629739699179948,2.8165072424159607,0.61692,fair,,,1,1,1,1,1,1,99,99 air · 61°F · cross RF 12 · 53° dew · LHB,30,598,,,,,19.3,,,,
11,680664,Eduardo Valencia,DET,WSH,True,4,DH,R,official,preview,DJ Herz,L,,,0.1460297957710426,0.15025408538034624,0.15964253778664692,2.6295709210166716,0.5426352000000001,fair,,,1,1,1,1,1,1,92,92 air · 61°F · cross RF 12 · 53° dew · RHB,6,115,,,,,15.9,,,,
12,686611,Dylan Crews,WSH,DET,False,5,RF,R,official,preview,River Ryan,R,,,0.13904846539299534,0.1419851979013066,0.15025818686575848,2.554796392456956,0.61692,fair,,,1,1,1,1,1,1,92,92 air · 61°F · cross RF 12 · 53° dew · RHB,12,419,,,,,9.6,,,,
13,701678,Hao-Yu Lee,DET,WSH,True,2,3B,R,official,preview,DJ Herz,L,,,0.13825758395996385,0.14111709488535273,0.14951777470858313,2.7541951352828646,0.61692,fair,,,1,1,1,1,1,1,92,92 air · 61°F · cross RF 12 · 53° dew · RHB,10,335,,,,,8.8,,,,
14,691181,Emmanuel Rodriguez,MIN,SF,False,8,LF,L,projected,preview,Blade Tidwell,R,1.18,,0.13642433021557376,0.1408359361215089,0.14862471638101296,2.5775660797251403,0.34195395801600004,thin,,,1,1,1,1,1,1,78,78 air · 59° dew · LHB,1,34,,,,,19,,,,
15,815873,Sean Keys,TOR,BAL,False,5,1B,L,official,preview,Shane Baz,R,0.78,,0.13550737509908717,0.13823085561200854,0.14607151816370953,2.73532537730406,0.5940000000000001,fair,,,1,1,1,1,1,1,105,105 air · 69°F · in CF 9 · 60° dew · spray vs wall · LHB,2,52,,,,,6.7,,,,
16,682928,CJ Abrams,WSH,DET,False,4,SS,L,official,preview,River Ryan,R,,,0.13166652116058833,0.13388248138260872,0.14130130268171462,2.6295709210166716,0.61692,fair,,,1,1,1,1,1,1,99,99 air · 61°F · cross RF 12 · 53° dew · LHB,31,631,,,,,10,,,,
