rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,691718,Pete Crow-Armstrong,CHC,MIL,True,1,CF,L,projected,preview,Logan Henderson,R,1.3,64% hard · 3% break,0.1652571168605611,0.17710247143039493,0.17530108537810773,3,0.69588576,fair,Weather not posted; Projected order,19.0% vs RHP last 10; 4S-FB 46%; 4 tanks last 10; trending +7.7 brl,1.5596454604116565,1.1274756051380006,1.07,1.42,1,1.22,107,107 air · 71° dew · LHB,38,627,.568,6,48,10,13,90.2,48.7,0.236,50.3
2,681715,Heriberto Hernández,MIA,KC,False,1,LF,R,projected,preview,Michael Wacha,R,1.16,56% hard · 19% break,0.15788168247280537,0.1644825387339961,0.16700618681581791,3,0.69588576,fair,Weather not posted; Projected order,18.2% vs RHP last 10; 4S-FB 27%; trending +5.2 brl; 105.4 last game,1.5140802190683673,1.1282579741473187,0.97,1.42,1,1.22,97,97 air · 67° dew · RHB,22,404,.466,3,45,10,14,91.4,47.6,0.24,47.2
3,646240,Rafael Devers,SF,PIT,False,2,DH,L,official,live,Lake Bachar,R,1.51,34% hard · 58% break,0.15750440416148748,0.15962425345635034,0.16658317913632237,3,0.97,stable,,31.6% vs RHP last 10; 4S-FB 29%; 3 tanks last 10; trending +11.0 brl,1.4481534509836735,1.2077300105652888,0.9,1.42,1,1.22,90,90 air · 77°F · in CF 7 · 74° dew · LHB,32,600,.499,5,45,10,11.6,92.9,50.8,0.228,33.2
4,691023,Jordan Walker,STL,LAD,False,4,RF,R,projected,preview,Tarik Skubal,L,0.85,55% hard · 18% break,0.14848085963773372,0.1543223366747939,0.1565033155345853,3,0.69588576,fair,Weather not posted; Projected order,4S-FB 36%; 106.8 last game; 5× 100+ last 3; 19.0% pull air,1.4193099524201163,1.0457973315130535,1.03,1.38,1,1.22,103,103 air · 58° dew · RHB,28,582,.504,1,42,10,13.6,92.5,48.6,0.211,38.9
5,681508,Mickey Gasper,BOS,BAL,False,2,1B,S,projected,preview,Brandon Young,R,1.17,54% hard · 28% break,0.1483410618079108,0.15417124626245893,0.15634771405529957,3,0.69588576,fair,Weather not posted; Projected order,29.4% vs RHP last 10; 4S-FB 40%; trending +18.0 brl; 27.8% pull air,1.1686421979235888,1.133252944565254,1.12,1.42,1,1.22,112,112 air · 71° dew · switch,7,170,.503,,,,9.8,88.8,37.7,0.197,43.4
6,686527,Dominic Canzone,SEA,ATH,True,2,DH,L,projected,preview,Jack Perkins,R,1.7,49% hard · 32% break,0.14649473617230307,0.1521757782216322,0.1542942634836677,3,0.69588576,fair,Weather not posted; Projected order,25% vs RHP last 10; 3 tanks last 10; trending +4.9 brl; 104.5 last game,1.3847159915848035,1.091287173804313,0.96,1.42,1,1.22,96,96 air · 56° dew · LHB,21,434,.487,2,44,10,12.5,91.1,44.9,0.222,40.5
7,808959,Munetaka Murakami,CWS,HOU,False,2,1B,L,official,live,Hunter Brown,R,1.11,62% hard · 28% break,0.1464386832064264,0.14827013796788213,0.1542319687087952,3,0.97,stable,,15.4% vs RHP last 10; 4S-FB 32%; 107.2 last game; 43.8% pull air,1.7819003212875208,1.0499180978737352,1.05,1.42,1,0.8618976653061226,105,105 air · 73°F · roof closed · pull × porch · LHB,29,456,.487,0,45,10,19.6,93.9,57.1,0.267,44.7
8,669065,Kyle Stowers,MIA,KC,False,3,1B,L,projected,preview,Michael Wacha,R,1.16,56% hard · 19% break,0.1430220364133133,0.14842256088509787,0.15043999746938497,3,0.69588576,fair,Weather not posted; Projected order,28.6% vs RHP last 10; Changeup 25%; trending +16.8 brl; 109.2 last game,1.3588720966654553,1.0547115646901937,0.97,1.42,1,1.22,97,97 air · 67° dew · LHB,18,433,.470,2,38,10,12.6,92.4,55.7,0.209,46.3
9,670541,Yordan Alvarez,HOU,CWS,True,2,DH,L,official,live,Luis Castillo,R,1.7,60% hard · 25% break,0.13847425482540338,0.14009814086032724,0.14540823833600636,3,0.97,stable,,106.7 last game; 22.2% blast; 41.5% sweet; 76.2 bat,1.8059177829145563,1.1695182102272355,1.04,1.1611700889685734,1,0.8560000000000001,104,104 air · 73°F · roof closed · LHB,37,605,.604,1,44,10,16.5,94.5,53.7,0.332,41.5
10,694192,Jackson Chourio,MIL,CHC,False,1,LF,R,projected,preview,Kevin Gausman,R,1.16,51% hard · 9% break,0.138456355952899,0.14348807410352593,0.14538846967927743,3,0.69588576,fair,Weather not posted; Projected order,14.3% vs RHP last 10; 4S-FB 51%; 109.5 last game; 83.9% ideal AA,1.3419346059706467,1.103282874015055,1.07,1.309049969636353,1,1.0964482051282052,107,107 air · 71° dew · RHB,21,476,.487,4,48,10,13,92,47.7,0.211,29.3
11,665161,Jeremy Peña,HOU,CWS,True,1,SS,R,official,live,Luis Castillo,R,1.7,60% hard · 25% break,0.13807484473441967,0.13968832135387976,0.14496716944846866,3,0.97,stable,,4S-FB 42%; trending +9.4 brl; 105.3 last game; 88% ideal AA,1.096254091347347,1.2550270100053091,1,1.2942679399563448,1,1.22,100,100 air · 73°F · roof closed · RHB,17,388,.475,3,44,10,6.6,88.4,39.6,0.152,47.3
12,608369,Corey Seager,TEX,TB,True,2,SS,L,projected,preview,Shane McClanahan,L,0.72,38% hard · 33% break,0.1338659960509909,0.13852691432569775,0.14032759605767753,3,0.69588576,fair,Weather not posted; Projected order,15.4% vs LHP last 10; 4S-FB 38%; 103.8 last game; 4× 100+ last 3,1.3703508899554429,1.0632391487325463,1.12,1.1963411314568515,1,1.097134110297931,112,112 air · 77° dew · LHB,13,340,.404,0,45,10,14.5,91.9,49.1,0.221,44.9
13,695600,Carter Jensen,KC,MIA,True,1,C,L,projected,preview,Sandy Alcantara,R,0.85,60% hard · 19% break,0.13327354749756157,0.13788660899092775,0.1396757251654941,3,0.69588576,fair,Weather not posted; Projected order,33.3% vs RHP last 10; Changeup 20%; 3 tanks last 10; trending +11.5 brl,1.251583327625142,1.0104220566718556,0.97,1.42,1,1.22,97,97 air · 67° dew · LHB,21,521,.426,4,44,10,11.2,91.3,44.7,0.177,39.9
14,677800,Wilyer Abreu,BOS,BAL,False,4,RF,L,projected,preview,Brandon Young,R,1.17,54% hard · 28% break,0.128888854758773,0.13314772974863331,0.13486045991862072,3,0.69588576,fair,Weather not posted; Projected order,4S-FB 40%; 100 last game; 23.3% pull air; 63.3% ideal AA,1.2979087582660456,1.0708399072547619,1.18,1.1912679122905203,1,1.025147824046921,118,118 air · 71° dew · LHB,23,599,.471,1,45,10,12.4,89.8,44,0.22,36.5
