rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,621566,Matt Olson,ATL,LAD,True,3,1B,L,projected,preview,Tyler Glasnow,R,1.13,54% hard · 46% break,0.23543618615148126,0.24803533496610752,0.2602790158007964,4.32,0.60402883968,fair,Weather not posted; Projected order,25% vs RHP last 7; 18.5% vs FF; 103 last game; 5× 100+ last 3,1.7564080991767397,1.1684473955186447,1.1,1.42,1,1.0370618229738637,110,110 air · LHB,36,570,.531,1,41,10,15.7,92.6,50.1,0.269,38.4
2,656941,Kyle Schwarber,PHI,SEA,False,1,DH,L,projected,preview,George Kirby,R,1.09,53% hard · 40% break,0.22468717225835302,0.233951367256515,0.24745705260752168,4.52,0.69588576,fair,Weather not posted; Projected order,18.8% vs RHP last 7; 13.9% vs break; 5× 100+ last 3; 25% pull air,1.8665039702974218,1.042701412645611,0.97,1.42,1,1.0400541848739497,97,97 air · LHB,39,564,.529,4,48,10,17.5,92.8,51.2,0.262,54.7
3,671277,Luis García Jr.,NYY,HOU,True,3,1B,L,projected,preview,Ethan Pecko,R,0,71% hard · 21% break,0.22209936776410982,0.23809077587143868,0.24399506127575918,4.32,0.4175314559999999,thin,No established starter; Weather not posted; Projected order,15.4% vs RHP last 7; chase vs expand; 21.4% pull air; 78.6% ideal AA,1.4298854262154976,1,1.27,1.42,1,1.1976492646370025,127,127 air · LHB,26,443,.542,2,40,10,12.2,91.7,46.4,0.215,42.1
4,663757,Trent Grisham,NYY,HOU,True,1,CF,L,projected,preview,Ethan Pecko,R,0,71% hard · 21% break,0.21915162444604575,0.2347225255751907,0.2407268570663278,4.52,0.4175314559999999,thin,No established starter; Weather not posted; Projected order,14.3% vs RHP last 7; 12.6% vs FF; 104.5 last game; 20% pull air,1.3084780465582115,1,1.27,1.3833748056569133,1,1.22,127,127 air · LHB,18,443,.422,3,44,10,10.1,90.9,46.4,0.193,46.1
5,663728,Cal Raleigh,SEA,PHI,True,6,C,S,projected,preview,Aaron Nola,R,2.04,50% hard · 34% break,0.21213434030351888,0.22038454323335455,0.23139185113163033,3.96,0.69588576,fair,Weather not posted; Projected order,42.9% vs RHP last 7; 26.5% vs hard; 108.5 last game; 4× 100+ last 3,1.320277584257488,1.375091159628964,0.98,1.42,1,1.22,98,98 air · switch,17,408,.336,5,37,10,13.3,89.4,36.9,0.197,54.2
6,681715,Heriberto Hernández,MIA,BOS,True,2,LF,R,projected,preview,Payton Tolle,L,0.98,88% hard · 9% break,0.21089264306521338,0.21904254423402536,0.230618678513157,4.42,0.69588576,fair,Weather not posted; Projected order,28.6% vs LHP last 7; 19.8% vs FF; 31.3% pull air; 56.3% ideal AA,1.4758259223036894,1.0913611456577599,0.92,1.42,1,1.22,92,92 air · RHB,19,368,.454,2,43,10,13.2,91.6,48.7,0.229,47.4
7,682987,Spencer Jones,NYY,HOU,True,6,RF,L,projected,preview,Ethan Pecko,R,0,71% hard · 21% break,0.20865560947624445,0.22272921349987918,0.22724130934121886,3.96,0.4175314559999999,thin,No established starter; Weather not posted; Projected order,23.1% vs RHP last 7; 19.8% vs hard; 110.2 last game; 30.8% pull air,1.42751086473632,1,1.27,1.42,1,1.22,127,127 air · LHB,7,178,.428,2,37,10,15.8,94.7,58.5,0.219,29.5
8,677594,Julio Rodríguez,SEA,PHI,True,3,CF,R,projected,preview,Aaron Nola,R,2.04,50% hard · 34% break,0.20804361300297972,0.2159633753556327,0.22706388735180294,4.32,0.69588576,fair,Weather not posted; Projected order,25% vs RHP last 7; 19.8% vs FF; 109 last game; 57.9% ideal AA,1.1902024272050284,1.31232601642603,0.98,1.42,1,1.19377,98,98 air · RHB,20,526,.413,1,47,10,9.3,90,43,0.19,39.7
9,678246,Miguel Vargas,CWS,TEX,True,3,3B,R,projected,preview,Jacob deGrom,R,1.21,44% hard · 43% break,0.20710667461257437,0.21495075300006317,0.22594351173681104,4.32,0.69588576,fair,Weather not posted; Projected order,11.8% vs FF; 33.3% pull air; 66.7% ideal AA; 16.7% barrels last 7,1.5492492644353342,1.1726738431307133,1.14,1.0786732352973738,1,1.1518132653061226,114,114 air · RHB,29,568,.496,2,45,10,14.7,90.8,46.2,0.257,45.5
10,670541,Yordan Alvarez,HOU,NYY,False,2,DH,L,projected,preview,Will Warren,R,1.4,63% hard · 24% break,0.20418433641206868,0.21179235430205845,0.22258747015738387,4.42,0.69588576,fair,Weather not posted; Projected order,11.8% vs FF; 76.1 bat; 17.3% barrels; 13.7% solid,1.9103128133387748,1.150368464075163,1.27,1.0515,1,0.8240000000000001,127,127 air · LHB,36,566,.613,1,40,10,17.3,94.5,53.4,0.345,42.3
11,804668,Rafael Flores Jr.,PIT,SD,False,5,C,R,projected,preview,Michael King,R,1.09,47% hard · 28% off,0.20326924392435197,0.2163860887145752,0.22105598914675298,4.1,0.42614035200000006,thin,Short season sample; Weather not posted; Projected order,42.9% vs RHP last 7; 23.6% vs hard; 100.7 last game; 61.5% ideal AA,1.702755475914395,1.152344531454573,0.85,1.42,1,1.1932339181286553,85,85 air · RHB,6,73,.594,3,37,10,19,90.1,45.2,0.273,42.9
12,808959,Munetaka Murakami,CWS,TEX,True,2,1B,L,projected,preview,Jacob deGrom,R,1.21,44% hard · 43% break,0.19892447073530942,0.20610760744343637,0.21632689894155635,4.42,0.69588576,fair,Weather not posted; Projected order,10.4% vs hard; 20.1% barrels; 94 EV; xISO 0.282,1.8713617631314703,1.140145112629354,1.1,1.2273497801136972,1,0.8,110,110 air · LHB,29,419,.513,2,46,10,20.1,94,58.3,0.282,42.6
13,660271,Shohei Ohtani,LAD,ATL,False,1,DH,L,projected,preview,Bryce Elder,R,1.44,65% hard · 24% break,0.19741267466912837,0.20447369158583695,0.21465050393975874,4.52,0.69588576,fair,Weather not posted; Projected order,12.5% vs RHP last 7; 102.7 last game; 63.6% ideal AA; 16.5% barrels,1.6579932788363494,1.0556541446875143,1.1,1.3129900335727374,1,0.8678218181818181,110,110 air · LHB,30,554,.545,3,45,10,16.5,93.5,52.6,0.28,48
14,700250,Ben Rice,NYY,HOU,True,2,DH,L,projected,preview,Ethan Pecko,R,0,71% hard · 21% break,0.1902443251644646,0.20169148831619998,0.20606453481343548,4.42,0.4175314559999999,thin,No established starter; Weather not posted; Projected order,12.6% vs FF; 100.8 last game; 64.3% ideal AA; 14.8% barrels,1.6446570071899607,1,1.27,1.2273497801136972,1,0.8652000000000001,127,127 air · LHB,34,536,.525,2,44,10,14.8,92.2,48.6,0.242,47.1
15,691718,Pete Crow-Armstrong,CHC,AZ,False,1,CF,L,projected,preview,Brandon Pfaadt,R,1.01,55% hard · 29% break,0.1895133892094229,0.19593631801737588,0.20531134881664512,4.52,0.69588576,fair,Weather not posted; Projected order,14.3% vs RHP last 7; 33.3% pull air; 66.7% ideal AA; 12.5% barrels,1.5209477935991327,0.9617541304717283,1.07,1.4159534402099028,1,0.9181714285714286,107,107 air · LHB,33,589,.554,6,47,10,12.5,90,48.4,0.222,49.9
16,673357,Luis Robert Jr.,NYM,MIL,True,4,LF,R,projected,preview,Kyle Harrison,L,1.19,60% hard · 31% break,0.18896817599302507,0.19534706359346699,0.20433523493562436,4.22,0.69588576,fair,Weather not posted; Projected order,26.9% vs FF; 114.6 last game; 5× 100+ last 3; 60% ideal AA,1.2030992610103388,1.1477337997001356,0.97,1.38,1,1.22,97,97 air · RHB,9,196,.405,,,,8.7,89.8,40.2,0.181,46.5
17,665833,Oneil Cruz,PIT,SD,False,4,CF,L,projected,preview,Michael King,R,1.09,47% hard · 28% off,0.18871162097555275,0.19506978458687874,0.20403425661872537,4.22,0.69588576,fair,Weather not posted; Projected order,33.3% vs RHP last 7; 104.9 last game; 30% barrels last 7; 78.2 bat,1.5813181716664237,1.0119207592208188,0.84,1.42,1,1.17852,84,84 air · LHB,16,306,.481,,,,17.5,95.7,58,0.242,42
18,547180,Bryce Harper,PHI,SEA,False,3,RF,L,projected,preview,George Kirby,R,1.09,53% hard · 40% break,0.18769012763375834,0.19396577710403995,0.20295134525426248,4.32,0.69588576,fair,Weather not posted; Projected order,22.2% vs RHP last 7; 108.5 last game; 4× 100+ last 3; 21.4% pull air,1.3400925235263021,0.9532252059771975,0.97,1.42,1,1.22,97,97 air · LHB,26,563,.499,1,45,10,11.4,90.4,44.7,0.228,38.7
19,671739,Michael Harris II,ATL,LAD,True,1,CF,L,projected,preview,Tyler Glasnow,R,1.13,54% hard · 46% break,0.18572592737779267,0.1933320437420626,0.20085863615186916,4.52,0.60402883968,fair,Weather not posted; Projected order,15.4% vs RHP last 7; 13.2% vs hard; 4× 100+ last 3; 19.0% pull air,1.2519808893649809,1.0783850617552753,1.1,1.3610735646946432,1,0.9832708063492065,110,110 air · LHB,21,500,.493,1,39,10,10.8,90.6,48.7,0.188,36.9
20,695657,Colson Montgomery,CWS,TEX,True,6,SS,L,projected,preview,Jacob deGrom,R,1.21,44% hard · 43% break,0.1855774498138797,0.19168244149474822,0.20004621685799276,3.96,0.69588576,fair,Weather not posted; Projected order,12.6% vs FF; 25% pull air; 75% ideal AA; 16.7% barrels last 7,1.423877592769725,1.1997405723084527,1.1,1.0515,1,1.22,110,110 air · LHB,27,523,.426,1,41,10,12.4,88.9,41.8,0.202,49.5
21,641343,Jake Bauers,MIL,NYM,False,4,RF,L,projected,preview,Zac Thornton,L,1.07,66% hard · 30% break,0.18425140687271332,0.1911279159684771,0.19881331224860121,4.22,0.6402148991999999,fair,Weather not posted; Projected order,102.3 last game; 36.4% pull air; 18.2% barrels last 7; 76.6 bat,1.486547400887193,1.0665362339018785,0.97,1.2281852424420887,1,1.1490335999999999,97,97 air · LHB,23,474,.503,2,44,10,14,92.4,52.9,0.221,42.5
22,691777,Max Muncy,ATH,MIN,True,7,LF,R,projected,preview,Taj Bradley,R,1.22,71% hard · 9% break,0.18204715748385214,0.18786697937718577,0.19575657877345862,3.82,0.69588576,fair,Weather not posted; Projected order,15.4% vs RHP last 7; 18.5% vs FF; 110 last game; 60% ideal AA,1.1331155727239486,1.2107340691623136,1.17,1.2575778320775113,1,1.22,117,117 air · RHB,7,234,.378,,,,11.9,90.1,43.3,0.149,41.8
23,668227,Randy Arozarena,SEA,PHI,True,1,LF,R,projected,preview,Aaron Nola,R,2.04,50% hard · 34% break,0.1797659511283779,0.18540150184218895,0.19388436625546482,4.52,0.69588576,fair,Weather not posted; Projected order,11.1% vs break; 83.3% ideal AA; 8% solid; Air starter,1.0990193948365121,1.2539685045135682,0.98,1.1208486869546181,1,1.22,98,98 air · RHB,20,536,.465,4,49,10,7.7,90.8,42.4,0.159,34.1
24,608369,Corey Seager,TEX,CWS,False,2,SS,L,projected,preview,Anthony Kay,L,1.13,57% hard · 29% break,0.17867212391608706,0.18421931750687015,0.19251451368619318,4.42,0.69588576,fair,Weather not posted; Projected order,15.4% vs LHP last 7; 17.3% vs FF; 106.9 last game; 21.7% pull air,1.4296028123665072,1.093299794229113,1.1,1.2360258502381845,1,0.8902400000000001,110,110 air · LHB,13,304,.426,1,41,10,14.6,91.7,48.4,0.227,43.2
25,691023,Jordan Walker,STL,BAL,True,3,RF,R,projected,preview,Chris Bassitt,R,0.94,64% hard · 30% break,0.17787700239981968,0.18335996770221719,0.1914914286882178,4.32,0.69588576,fair,Weather not posted; Projected order,22.2% vs RHP last 7; 17.3% vs break; 22.2% barrels last 7; 79.2 bat,1.4169607450151522,0.9488509762554656,0.87,1.42,1,1.1712,87,87 air · RHB,27,548,.507,4,45,10,13.5,92.4,47.8,0.214,38.6
26,664023,Ian Happ,CHC,AZ,False,5,LF,S,projected,preview,Brandon Pfaadt,R,1.01,55% hard · 29% break,0.17782678281951153,0.1833056914870166,0.19120220766495996,4.1,0.69588576,fair,Weather not posted; Projected order,13.3% vs RHP last 7; 105.3 last game; 46.7% pull air; 60% ideal AA,1.3118157544527473,0.92570482456797,1.07,1.331741360482355,1,1.22,107,107 air · switch,22,541,.422,2,40,10,11.3,89.4,42.3,0.193,46.5
27,665019,Kody Clemens,MIN,ATH,False,5,LF,L,projected,preview,Gage Jump,L,0.99,52% hard · 40% break,0.17622546281332646,0.18157502012880467,0.18934673473918015,4.1,0.69588576,fair,Weather not posted; Projected order,16.7% vs LHP last 7; 105.7 last game; 38.9% pull air; 100% ideal AA,1.3740738043331198,0.8437301732384577,1.17,1.254779546943102,1,1.22,117,117 air · LHB,21,464,.465,1,40,10,11.8,92.4,46.5,0.199,46.8
28,521692,Salvador Perez,KC,TOR,False,4,DH,R,projected,preview,Max Scherzer,R,2.4,51% hard · 33% break,0.17582714038301464,0.18190378688307152,0.18901134091852687,4.22,0.6416066707199999,fair,Weather not posted; Projected order,13.9% vs FF; 105.2 last game; 20–30° last 5; 15% barrels last 7,1.1317586127931243,1.353741196139855,0.99,1.0756916445831068,1,1.22,99,99 air · RHB,17,508,.376,1,38,10,9.8,88.8,42,0.181,40.2
29,646240,Rafael Devers,SF,CIN,True,2,1B,L,projected,preview,Brady Singer,R,1.71,59% hard · 41% break,0.17442097090967168,0.17962476506315994,0.18757388567064182,4.42,0.69588576,fair,Weather not posted; Projected order,25% vs RHP last 7; 108.9 last game; 10.5% solid; 92.6 EV,1.4064036199480938,1.0687424918061597,0.78,1.42,1,1.0873379629629631,78,78 air · LHB,27,555,.475,3,44,10,10.8,92.6,50.4,0.214,32.9
30,805808,Kevin McGonigle,DET,TB,True,3,3B,L,projected,preview,Ian Seymour,L,1.6,42% hard · 30% off,0.17255951761052396,0.17761294737710043,0.18532544633360284,4.32,0.69588576,fair,Weather not posted; Projected order,33.3% vs LHP last 7; 11.8% vs FF; 103.4 last game; 5× 100+ last 3,0.999035380770964,1.1999397145655781,0.97,1.325699172022401,1,1.19377,97,97 air · LHB,14,573,.430,2,45,10,7.3,88.2,37.2,0.173,36.7
31,668723,Ryan Vilade,TB,DET,False,2,RF,R,projected,preview,Jackson Jobe,R,1.29,55% hard · 33% break,0.17162614098766568,0.18001649486389304,0.1843364897271892,4.42,0.44536688639999994,thin,Starter sample thin; Weather not posted; Projected order,113 last game; 4× 100+ last 3; 22.2% pull air; 76.4 bat,1.1673444172669327,1.1236522880401827,0.97,1.1706260264768826,1,1.22,97,97 air · RHB,11,220,.482,,,,7.3,89.6,39.7,0.182,36.2
