rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,681715,Heriberto Hernández,MIA,CHC,True,1,LF,R,projected,preview,Javier Assad,R,1.62,73% hard · 19% break,0.22425827117241193,0.23348790187672752,0.2575492040966355,3.2179830554796394,0.6983999999999999,fair,Projected order,16.7% vs RHP last 10; 4S-FB 19%; trending +5.9 brl; 20% pull air,1.4459535637258742,1.1464237877280523,0.9,1.42,1,1.22,90,90 air · 72°F · roof closed · RHB,23,412,.467,4,44,10,14.1,91.3,47.5,0.243,47.1
2,808959,Munetaka Murakami,CWS,MIN,True,3,1B,L,projected,preview,Taj Bradley,R,1.22,71% hard · 9% break,0.218930015900568,0.22779000995101994,0.2500032394348412,2.829267807895848,0.69588576,fair,Weather not posted; Projected order,18.2% vs RHP last 10; 4S-FB 47%; 46.2% pull air; 15.4% barrels last 10,1.6170186202605412,1.1602683305949015,1.13,1.42,1,0.9279046447898674,113,113 air · 70° dew · LHB,29,464,.476,0,45,10,19.3,93.9,57,0.262,44.8
3,665742,Juan Soto,NYM,SF,True,2,LF,L,projected,preview,Anthony Molina,R,1.26,49% hard · 26% break,0.21827947745194026,0.23360619943635386,0.2571704734350185,2.811299659618873,0.42641510400000004,thin,Starter sample thin; Starter outing length thin; Projected order,25% vs RHP last 10; Curve 13%; tank last game; trending +7.0 brl,1.48780957474458,1.0820870826243423,1.03,1.42,1,1.22,103,103 air · 80°F · cross RF 10 · 60° dew · LHB,23,382,.535,2,40,10,14.4,92.6,48.7,0.293,39.2
4,694192,Jackson Chourio,MIL,CIN,False,3,LF,R,projected,preview,Andrew Abbott,L,1.27,47% hard · 33% break,0.21244494570348288,0.22078108905904437,0.24152497901692194,2.7286915422085753,0.69588576,fair,Weather not posted; Projected order,14.3% vs LHP last 10; 4S-FB 45%; 100.2 last game; 4× 100+ last 3,1.2668577475524603,1.1779560162920053,1.15,1.3851244932422941,1,1.1455911647727273,115,115 air · 75° dew · RHB,21,485,.480,4,48,10,12.8,91.8,47.6,0.209,29.5
5,592626,Joc Pederson,TEX,TB,True,1,DH,L,projected,preview,Drew Rasmussen,R,0.8,81% hard · 7% break,0.20876865758372756,0.21680783791072888,0.2371305929649566,2.7439327685159878,0.69588576,fair,Weather not posted; Projected order,20% vs RHP last 10; Cutter 29%; trending +7.2 brl; 104.6 last game,1.3755881492909725,0.9609238568492812,1.11,1.42,1,1.22,111,111 air · 67° dew · LHB,24,413,.478,2,24,10,11,92.2,51,0.198,42.2
6,691718,Pete Crow-Armstrong,CHC,MIA,False,1,CF,L,projected,preview,Ryan Gusto,R,1.06,54% hard · 31% break,0.20772470503032436,0.21562752398156404,0.23568441548467917,2.6855643618474994,0.6983999999999999,fair,Projected order,26.7% vs RHP last 10; 4S-FB 28%; 4 tanks last 10; trending +12 brl,1.5182848258951673,1.0786098882942037,0.9,1.42,1,1.22,90,90 air · 72°F · roof closed · LHB,39,636,.570,6,47,10,13,90.3,48.7,0.238,50.3
7,695600,Carter Jensen,KC,TOR,True,1,C,L,projected,preview,Max Scherzer,R,1.89,52% hard · 32% break,0.20633603444665483,0.21463526463133842,0.2343683025847526,2.5018282245652395,0.6736174156799999,fair,Weather not posted; Projected order,37.5% vs RHP last 10; 4S-FB 47%; 4 tanks last 10; trending +14.8 brl,1.2312519057452025,1.281387777314485,0.97,1.42,1,1.22,97,97 air · 68° dew · LHB,22,529,.443,5,47,10,11.3,91.5,45.5,0.181,40.4
8,668227,Randy Arozarena,SEA,ATH,True,1,LF,R,projected,preview,Jeffrey Springs,L,2.41,46% hard · 29% break,0.20590026523437824,0.21370774269930404,0.23343168523318153,2.728840067354909,0.69588576,fair,Weather not posted; Projected order,22.2% vs LHP last 10; 4S-FB 44%; trending +5.6 brl; 4× 100+ last 3,1.1038888931563808,1.356478281485178,0.96,1.42,1,1.22,96,96 air · 58° dew · RHB,22,581,.464,2,45,10,8,90.7,41.5,0.162,35.9
9,681508,Mickey Gasper,BOS,BAL,False,2,1B,S,projected,preview,Chris Bassitt,R,1.02,64% hard · 31% break,0.198765428375965,0.20599656832523983,0.2242983319592825,3.0127029242962564,0.69588576,fair,Weather not posted; Projected order,14.3% vs RHP last 10; Sinker 38%; trending +3.0 brl; 26.7% pull air,1.1762557341970283,1.0538796163746122,1.11,1.399652859214863,1,1.1696912993103448,111,111 air · 63° dew · switch,8,178,.513,5,38,10,10.3,89,38.9,0.205,42.9
10,686948,Drake Baldwin,ATL,PHI,False,2,DH,L,projected,preview,Zack Wheeler,R,1.31,62% hard · 23% break,0.19844801953269947,0.20565351984538505,0.2237595376423407,2.752528955527702,0.69588576,fair,Weather not posted; Projected order,15% vs RHP last 10; 65.2% ideal AA; 13.0% barrels last 10; 19.0% blast,1.2775350476126828,0.9452021781984501,1.22,1.42,1,1.1326727410087254,122,122 air · 61° dew · LHB,22,523,.449,1,45,10,12.7,91.8,51.1,0.217,30.8
11,663728,Cal Raleigh,SEA,ATH,True,4,C,S,projected,preview,Jeffrey Springs,L,2.41,46% hard · 29% break,0.1981743816413128,0.2053577780452981,0.2229728661823525,2.5477223637694064,0.69588576,fair,Weather not posted; Projected order,4S-FB 44%; trending +11.5 brl; 46.7% pull air; 26.7% barrels last 10,1.3080952675132467,1.3872705986167961,0.95,1.2260744439223057,1,1.22,95,95 air · 58° dew · spray vs wall · switch,21,446,.371,7,42,10,15.2,89.8,39.3,0.214,54.1
12,621566,Matt Olson,ATL,PHI,False,4,1B,L,projected,preview,Zack Wheeler,R,1.31,62% hard · 23% break,0.19687021072230126,0.20394825886922574,0.22137496075473684,2.6279801340106115,0.69588576,fair,Weather not posted; Projected order,4S-FB 35%; 27.3% pull air; 63.6% ideal AA; 19.3% blast,1.5799381002704789,1.104117023874625,1.22,1.3310485919381558,1,0.8826688,122,122 air · 61° dew · LHB,37,613,.515,1,43,10,15,92.6,50.3,0.264,39.1
13,624413,Pete Alonso,BAL,BOS,True,4,1B,R,projected,preview,Sonny Gray,R,0.94,58% hard · 37% break,0.196575318332885,0.20362954567626856,0.22104039041786733,2.6890971444692275,0.69588576,fair,Weather not posted; Projected order,4S-FB 17%; trending +4.9 brl; 103 last game; 5× 100+ last 3,1.4896584535453226,1.0646409837904356,1.05,1.2102291551628936,1,1.22,105,105 air · 63° dew · RHB,33,615,.498,2,44,10,14.1,94.2,57.1,0.26,34.7
14,643217,Andrew Benintendi,CWS,MIN,True,4,DH,L,projected,preview,Taj Bradley,R,1.22,71% hard · 9% break,0.19350839263262343,0.20031487999626374,0.217195717019905,2.7637754975278885,0.69588576,fair,Weather not posted; Projected order,15% vs RHP last 10; 4S-FB 47%; trending +5.5 brl; 20–30° last 5,1.0847010018776624,1.1602683305949015,1.13,1.3575186724270751,1,1.22,113,113 air · 70° dew · LHB,14,422,.418,1,36,10,8.8,89,44.4,0.16,51.2
15,701398,Sal Stewart,CIN,MIL,True,3,1B,R,projected,preview,Dustin May,R,0.7,67% hard · 26% break,0.19233753864467645,0.19904944682003334,0.2157251502713415,2.5229024323585683,0.69588576,fair,Weather not posted; Projected order,16.7% vs RHP last 10; 4S-FB 26%; 105 last game; 84% ideal AA,1.351015165153695,0.9997553255086515,1.15,1.42,1,1.0942114644910648,115,115 air · 75° dew · RHB,31,611,.483,4,43,10,13.2,90.1,38.6,0.225,31.7
16,691406,Junior Caminero,TB,TEX,False,3,3B,R,projected,preview,Jacob deGrom,R,1.11,44% hard · 43% break,0.19226244535532944,0.19896828764849683,0.21566026141047706,2.574555889587319,0.69588576,fair,Weather not posted; Projected order,Slider 36%; 107.6 last game; 60% ideal AA; 12% barrels last 10,1.4629054868236486,1.0530694867851498,1.08,1.295295554942021,1,1.1054516457960644,108,108 air · 67° dew · RHB,37,615,.528,2,44,10,12.9,93,50.4,0.219,46.3
17,682829,Elly De La Cruz,CIN,MIL,True,2,SS,S,projected,preview,Dustin May,R,0.7,67% hard · 26% break,0.1915122370520791,0.19815747905426628,0.2148606268118638,2.5813029516261277,0.69588576,fair,Weather not posted; Projected order,16.7% vs RHP last 10; 4S-FB 26%; trending +6.9 brl; 113.3 last game,1.2784933931116214,0.9832312505835261,1.16,1.3002032550851128,1,1.22,116,116 air · 75° dew · switch,21,546,.477,0,44,10,14.2,94.1,51.6,0.197,33.2
18,660670,Ronald Acuña Jr.,ATL,PHI,False,1,RF,R,projected,preview,Zack Wheeler,R,1.31,62% hard · 23% break,0.1904583527763687,0.19701846416417745,0.21376706209217802,2.814803366286247,0.69588576,fair,Weather not posted; Projected order,4S-FB 35%; 108.6 last game; 65% ideal AA; 15% barrels last 10,1.198920497034764,1.0231705899024774,1.19,1.1985401209655122,1,1.22,119,119 air · 61° dew · RHB,14,388,.422,1,45,10,12.2,90.4,45.5,0.212,36.6
19,665019,Kody Clemens,MIN,CWS,False,3,2B,L,projected,preview,Anthony Kay,L,1.25,57% hard · 29% break,0.18830255482295882,0.1946885252652394,0.21075027733779986,2.759032522547144,0.69588576,fair,Weather not posted; Projected order,4S-FB 23%; trending +9.0 brl; 42.1% pull air; 89.5% ideal AA,1.3450443028118595,1.0885408004885415,1.13,1.0932633277316934,1,1.22,113,113 air · 70° dew · LHB,24,502,.470,3,43,10,12.1,92.4,47,0.213,47.6
20,663886,Tyler Stephenson,CIN,MIL,True,4,C,R,projected,preview,Dustin May,R,0.7,67% hard · 26% break,0.18772237231771857,0.19406147680492125,0.20972937833119487,2.4645019130910084,0.69588576,fair,Weather not posted; Projected order,22.2% vs RHP last 10; 4S-FB 26%; 35.7% pull air; 71.4% ideal AA,1.2005719246098965,1.0291377909952073,1.15,1.42,1,1.187230211981567,115,115 air · 75° dew · RHB,14,402,.419,2,40,10,12.4,91.1,45.3,0.205,36
21,695657,Colson Montgomery,CWS,MIN,True,5,SS,L,projected,preview,Taj Bradley,R,1.22,71% hard · 9% break,0.18726650992698035,0.19356879078345812,0.2091028253432058,2.685184725086337,0.69588576,fair,Weather not posted; Projected order,4S-FB 47%; 31.3% pull air; 75% ideal AA; 12.5% barrels last 10,1.3671705208787635,1.1602683305949015,1.13,1.2102291551628936,1,1.0712000000000002,113,113 air · 70° dew · LHB,30,562,.436,3,43,10,12.5,88.7,41.7,0.202,48.6
22,656941,Kyle Schwarber,PHI,ATL,True,1,DH,L,projected,preview,Martín Pérez,L,0.89,61% hard · 8% break,0.18487015309945642,0.1909788611570047,0.20669294774692087,2.8050365048998556,0.69588576,fair,Weather not posted; Projected order,Sinker 35%; 101.3 last game; 25% pull air; 75% ideal AA,1.6536064361057659,1.0459267362544398,1.24,1.0515,1,0.8998080000000002,124,124 air · 61° dew · pull × porch · LHB,40,605,.513,1,45,10,16.7,92.3,49.4,0.252,54.2
23,665953,Andrés Chaparro,WSH,LAD,False,2,DH,R,projected,preview,Tyler Glasnow,R,0.87,56% hard · 44% break,0.18237506481394133,0.1892351457159307,0.20448058124460025,2.647892866903526,0.6346478131199998,fair,Weather not posted; Projected order,14.3% vs RHP last 10; 4S-FB 33%; 25% pull air; 64.7% ideal AA,1.2717916062932344,1.0800069370489038,1.02,1.4103810591136896,1,1.0661496774193548,102,102 air · 59° dew · RHB,9,181,.497,1,37,10,13,89.5,44.3,0.218,50.4
24,672960,Kazuma Okamoto,TOR,KC,False,5,3B,R,projected,preview,Seth Lugo,R,1.05,51% hard · 40% break,0.18235473241470812,0.18826024993867674,0.20291634125919866,2.6325739916081217,0.69588576,fair,Weather not posted; Projected order,18.2% vs RHP last 10; trending +11.8 brl; 100.6 last game; 25% pull air,1.3470895484004126,0.9931614791847518,0.97,1.42,1,1.22,97,97 air · 68° dew · RHB,28,555,.438,2,39,10,13.2,90.5,43.4,0.212,51.2
25,677594,Julio Rodríguez,SEA,ATH,True,3,CF,R,projected,preview,Jeffrey Springs,L,2.41,46% hard · 29% break,0.18223134998184398,0.1881269009254628,0.20304787648858658,2.608094931631241,0.69588576,fair,Weather not posted; Projected order,16.7% vs LHP last 10; 4S-FB 44%; 110.1 last game; 4× 100+ last 3,1.1242350764610116,1.3458564047930188,0.96,1.3445129547088017,1,1.1014271672771674,96,96 air · 58° dew · RHB,20,571,.398,0,45,10,9.1,90,43.3,0.181,39
26,670541,Yordan Alvarez,HOU,AZ,True,2,DH,L,projected,preview,Brandon Pfaadt,R,1.05,55% hard · 29% break,0.18173360759864757,0.1875889519314835,0.20272883602576908,3.2028735407800726,0.69588576,fair,Weather not posted; Projected order,19.0% pull air; 21.9% blast; 41.8% sweet; 76.2 bat,1.7000396249187664,1.0172561460323613,1.05,1.2102291551628936,1,0.85696,105,105 air · 74° dew · LHB,37,613,.601,1,42,10,16.3,94.4,53.3,0.329,41.3
27,646240,Rafael Devers,SF,NYM,False,2,1B,L,projected,preview,Zac Thornton,L,1.03,66% hard · 30% break,0.18173242657025096,0.18754937606939115,0.2025434306918122,2.712981688986062,0.6983999999999999,fair,Projected order,Cutter 31%; trending +7.2 brl; 103.2 last game; 5× 100+ last 3,1.4256501222429172,1.1572549992830683,1.03,0.9877738088296277,1,1.22,103,103 air · 80°F · cross RF 10 · 60° dew · LHB,33,607,.508,5,48,10,12,93,51.3,0.228,33.3
28,695578,James Wood,WSH,LAD,False,1,LF,L,projected,preview,Tyler Glasnow,R,0.87,56% hard · 44% break,0.18026079932923308,0.18747584362767045,0.20257878993058664,2.7077999453402573,0.5987243519999998,fair,Weather not posted; Projected order,101.6 last game; 24.6% blast; 39.5% sweet; 76.9 bat,1.6559839107206662,0.9569043160811619,1.09,1.38,1,0.84,109,109 air · 59° dew · LHB,30,544,.536,0,46,10,20.7,95.2,57.8,0.305,32.7
29,663457,Lars Nootbaar,AZ,HOU,False,5,DH,L,projected,preview,Ethan Pecko,R,2.77,67% hard · 28% break,0.17979296965037303,0.1901345241343967,0.20499950060550592,2.4651544137742554,0.40083019776,thin,Starter sample thin; Weather not posted; Starter outing length thin; Projected order,21.4% vs RHP last 10; 4S-FB 23%; trending +11.2 brl; 105.9 last game,1.0432403148433225,1.2893755703288734,1.05,1.378470975622986,1,1.22,105,105 air · 74° dew · LHB,6,265,.368,2,32,10,10.2,91.9,49.7,0.195,40.1
30,668709,JJ Bleday,CIN,MIL,True,6,LF,L,projected,preview,Dustin May,R,0.7,67% hard · 26% break,0.1793284128962233,0.1849894705246874,0.19877232442848172,2.312660562995354,0.69588576,fair,Weather not posted; Projected order,25% vs RHP last 10; 4S-FB 26%; tank last game; trending +3.2 brl,1.272138336853177,0.951758173566463,1.16,1.42,1,1.22,116,116 air · 75° dew · LHB,22,471,.435,1,42,10,10.4,88.6,39.7,0.19,45.8
31,701350,Roman Anthony,BOS,BAL,False,1,DH,L,projected,preview,Chris Bassitt,R,1.02,64% hard · 31% break,0.17900844453221143,0.18487332819268487,0.19964550413131352,3.0808636239409677,0.68027496192,fair,Weather not posted; Projected order,21.4% vs RHP last 10; trending +6.0 brl; 100.9 last game; 4× 100+ last 3,1.0120615072550367,0.8979657955910829,1.17,1.4146097456077604,1,1.22,117,117 air · 63° dew · LHB,3,159,.407,2,44,10,11.6,92.8,51,0.17,38.5
32,700250,Ben Rice,NYY,SD,False,1,DH,L,projected,preview,Robbie Ray,L,1.21,46% hard · 35% break,0.177530834838965,0.18304668779179767,0.19748749955319697,2.929229297622301,0.69588576,fair,Weather not posted; Projected order,4S-FB 33%; 104.1 last game; 24% pull air; 84% ideal AA,1.5474646131843035,1.1503390723155857,0.84,1.1817881728242177,1,1.0461808767123293,84,84 air · 63° dew · LHB,36,581,.526,2,45,10,14.6,92,48.9,0.247,45.6
33,696100,Hunter Goodman,COL,STL,True,3,C,R,projected,preview,Matthew Liberatore,L,1.67,43% hard · 43% break,0.17705081027372752,0.18252788782484175,0.19656141794430443,2.596715446346493,0.69588576,fair,Weather not posted; Projected order,Slider 26%; 106.4 last game; 80% ideal AA; 17.0% blast,1.6013095685359193,1.2426668642460563,1.11,1.0515,1,0.8816800000000001,111,111 air · 45° dew · RHB,36,502,.533,2,42,10,15.9,90.3,45.2,0.234,47.6
34,571970,Max Muncy,LAD,WSH,True,5,3B,L,projected,preview,Cade Cavalli,R,1,52% hard · 41% break,0.17540623581059847,0.18075046800320038,0.19418973072060725,2.4869246085971968,0.69588576,fair,Weather not posted; Projected order,16.7% vs RHP last 10; 4S-FB 33%; 71.4% ideal AA; 14.3% barrels last 10,1.3876350352778708,1.0675311382724002,1.11,1.42,1,0.9299714072494668,111,111 air · 59° dew · pull × porch · LHB,26,486,.482,0,37,10,13.4,90.3,45.5,0.227,52.8
35,608369,Corey Seager,TEX,TB,True,2,SS,L,projected,preview,Drew Rasmussen,R,0.8,81% hard · 7% break,0.17532090623096752,0.1806582456748056,0.19454682080246954,2.683226291336431,0.69588576,fair,Weather not posted; Projected order,4S-FB 29%; tank last game; trending +5.9 brl; 5× 100+ last 3,1.2969916219597486,0.9382091274528405,1.11,1.1721052961402405,1,1.22,111,111 air · 67° dew · LHB,14,348,.413,1,44,10,14.9,92.1,50.2,0.229,44.3
36,641343,Jake Bauers,MIL,CIN,False,2,1B,L,projected,preview,Andrew Abbott,L,1.27,47% hard · 33% break,0.17129245277594776,0.176304381996363,0.18954605861397622,2.7918556982782183,0.69588576,fair,Weather not posted; Projected order,4S-FB 45%; 30% pull air; 80% ideal AA; 20.8% blast,1.3530361888367215,1.169483403061975,1.16,1.1552578712406016,1,0.85696,116,116 air · 75° dew · LHB,23,512,.486,0,43,10,13.4,92.4,53.1,0.213,43.5
37,665161,Jeremy Peña,HOU,AZ,True,1,SS,R,projected,preview,Brandon Pfaadt,R,1.05,55% hard · 29% break,0.16524001741539424,0.16976304329736436,0.18217717266449274,3.2753367430601643,0.69588576,fair,Weather not posted; Projected order,4S-FB 26%; trending +6 brl; 20.8% pull air; 87.5% ideal AA,1.1019626772160378,1.042331216973397,1.01,1.1018454353842535,1,1.22,101,101 air · 74° dew · RHB,17,396,.467,2,42,10,6.5,88.5,39.6,0.149,48.2
38,805811,Bryce Eldridge,SF,NYM,False,3,DH,L,projected,preview,Zac Thornton,L,1.03,66% hard · 30% break,0.1648880291390352,0.16935322280442777,0.18142694174063878,2.6516020127646582,0.6983999999999999,fair,Projected order,14.3% vs LHP last 10; Sweeper 16%; 13.0% barrels last 10; 18.7% blast,1.217221137797578,1.1019330481992813,1.03,1.2196176804359005,1,1.0567311767151768,103,103 air · 80°F · cross RF 10 · 60° dew · LHB,15,399,.448,1,47,10,11.7,92.5,52.3,0.208,38.2
