rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
193,687957,Dustin Harris,SD,LAD,False,2,LF,L,projected,preview,Yoshinobu Yamamoto,R,0.96,,0.09945208779810459,0.09907543600805613,0.10305962548657074,2.9972554183540794,0.63378692352,fair,,,1,1,1,1,1,1,111,111 air · 66° dew · LHB,0,129,,,,,2,,,,
194,521692,Salvador Perez,KC,CWS,True,6,DH,R,official,preview,Bryan Hudson,L,0.69,,0.09941184568166327,0.09930636181668184,0.10320570428594023,2.7891461367274437,0.97,stable,,,1,1,1,1,1,1,94,94 air · 73°F · in RF 9 · 57° dew · RHB,19,607,,,,,10,,,,
195,667472,Dane Myers,CIN,ATL,False,4,CF,R,official,preview,Chris Sale,L,0.52,,0.09935642602902421,0.09924949781848869,0.10320374844812265,2.7528320579393277,0.97,stable,,,1,1,1,1,1,1,101,101 air · 74°F · cross RF 12 · 68° dew · RHB,8,330,,,,,4.9,,,,
196,592885,Christian Yelich,MIL,PHI,False,7,DH,L,official,live,Aaron Nola,R,1.82,,0.09867713296915301,0.09855250104045543,0.10234292539784715,2.4006381894329425,0.97,stable,,,1,1,1,1,1,1,117,117 air · 66°F · cross LF 14 · 50° dew · LHB,11,486,,,,,9.2,,,,
197,543760,Marcus Semien,NYM,TEX,False,6,2B,R,official,preview,Cody Bradford,L,0.93,,0.09834621792095247,0.09815820265829311,0.10195671810139154,2.545815376206194,0.9140698,stable,,,1,1,1,1,1,1,106,106 air · 72°F · roof closed · RHB,14,532,,,,,5.7,,,,
198,807727,Charles McAdoo,TOR,BAL,False,7,3B,R,official,live,Trey Gibson,R,1.91,,0.09825923204022298,0.09785849551366943,0.10159208647702898,2.39156558118023,0.7136100000000001,fair,,,1,1,1,1,1,1,89,89 air · 63°F · in CF 15 · 52° dew · RHB,2,95,,,,,4.5,,,,
199,813841,Jonah Cox,SF,MIN,True,1,2B,R,official,final,Connor Prielipp,L,1,,0.09802648600134509,0.09788489692819613,0.10177462472086932,2.9638621012766952,0.97,stable,,,1,1,1,1,1,1,78,78 air · 68°F · cross 7 · 60° dew · RHB,4,157,,,,,6,,,,
200,815589,Bo Davidson,SF,MIN,True,4,RF,L,official,final,Connor Prielipp,L,1,,0.09783353730252412,0.09714588322760254,0.10092059509691828,2.7671455901300117,0.5060000000000001,thin,,,1,1,1,1,1,1,80,80 air · 68°F · cross 7 · 60° dew · pull × porch · LHB,0,11,,,,,0,,,,
201,661531,Brian Serven,ATH,LAA,True,9,C,R,official,preview,Walbert Ureña,R,0.56,,0.09775966597727624,0.0973956550514814,0.10100261565394783,2.2490690762503416,0.7776000000000001,stable,,,1,1,1,1,1,1,119,119 air · 89°F · 2 mph · 54° dew · RHB,5,80,,,,,8.9,,,,
202,676356,Jonny DeLuca,TB,NYY,False,5,RF,R,official,preview,Gerrit Cole,R,1.56,,0.09768595499078472,0.09753549100724357,0.1013155499920411,2.6303280596803416,0.97,stable,,,1,1,1,1,1,1,104,104 air · 63°F · in LF 15 · 46° dew · RHB,9,348,,,,,3.1,,,,
203,677594,Julio Rodríguez,SEA,HOU,True,5,CF,R,projected,preview,Ethan Pecko,R,1.57,,0.09755241301012532,0.09672208701163931,0.10043763014084689,2.7212743528676846,0.42641510400000004,thin,,,1,1,1,1,1,1,85,85 air · 59°F · in LF 8 · 52° dew · RHB,21,635,,,,,8.8,,,,
204,663993,Nathaniel Lowe,CLE,BOS,False,6,1B,L,official,preview,Sonny Gray,R,0.88,,0.09724083452716976,0.09707876982561525,0.10078783370680272,2.5394980949471893,0.97,stable,,,1,1,1,1,1,1,78,78 air · 59°F · in CF 16 · 49° dew · LHB,17,416,,,,,8.8,,,,
205,691788,Joe Mack,MIA,CHC,False,9,C,L,official,preview,Kevin Gausman,R,1.31,,0.09653315197258897,0.09635264366659535,0.09987917672160333,2.2676702392471726,0.97,stable,,,1,1,1,1,1,1,93,93 air · 63°F · in CF 12 · 56° dew · LHB,13,323,,,,,7.7,,,,
206,678218,Brandon Valenzuela,TOR,BAL,False,7,C,S,official,final,Chris Bassitt,R,0.88,,0.09631612128246296,0.09612995672823499,0.09972814436540428,2.5960827184112234,0.97,stable,,,1,1,1,1,1,1,99,99 air · 63°F · in CF 7 · 52° dew · switch,8,268,,,,,6.6,,,,
207,682877,Juan Brito,CIN,ATL,False,1,RF,S,official,preview,Chris Sale,L,0.52,,0.09558357121350702,0.09522278442125409,0.09887958329155053,2.9485310194042085,0.8677584,stable,,,1,1,1,1,1,1,107,107 air · 74°F · cross RF 12 · 68° dew · switch,2,99,,,,,5.8,,,,
208,680700,Richie Palacios,TB,NYY,False,6,2B,L,official,preview,Gerrit Cole,R,1.56,,0.09546070509014325,0.09525224670122934,0.0988121874240716,2.540511979593696,0.97,stable,,,1,1,1,1,1,1,111,111 air · 63°F · in LF 15 · 46° dew · LHB,10,384,,,,,4.1,,,,
209,663968,Jake Mangum,PIT,STL,True,9,CF,S,official,live,Matthew Liberatore,L,1.63,,0.09544302502658933,0.09523410586031622,0.09867391908101478,2.125838875223953,0.97,stable,,,1,1,1,1,1,1,79,79 air · 65°F · in CF 12 · 51° dew · pull × porch · switch,5,462,,,,,2.4,,,,
210,695391,Brett Harris,SF,MIN,True,6,1B,R,official,final,Connor Prielipp,L,1,,0.09486733384698254,0.09387588259837987,0.09732726664252173,2.59665794713622,0.5363600000000002,fair,,,1,1,1,1,1,1,78,78 air · 68°F · cross 7 · 60° dew · RHB,0,42,,,,,4.8,,,,
211,686797,Brooks Lee,MIN,SF,False,2,3B,S,official,final,Cesar Perdomo,L,1.46,,0.09483639160775603,0.09394808263244037,0.09748231291352497,2.8646390504821775,0.5922432000000001,fair,,,1,1,1,1,1,1,78,78 air · 68°F · cross 7 · 60° dew · switch,24,618,,,,,4.2,,,,
212,645305,Ali Sánchez,NYY,TB,True,9,C,R,official,preview,Mason Englert,R,2.27,,0.09466881956253032,0.09381749163372743,0.09715199994102958,2.328505056026237,0.620579232,fair,,,1,1,1,1,1,1,104,104 air · 63°F · in LF 15 · 46° dew · RHB,1,84,,,,,3.6,,,,
213,669326,Bryce Teodosio,LAA,ATH,False,8,CF,R,official,preview,Jeffrey Springs,L,2.15,,0.09463186867200878,0.09372588522796266,0.09709009543302796,2.2149928460042125,0.5940000000000001,fair,,,1,1,1,1,1,1,119,119 air · 89°F · 2 mph · 54° dew · RHB,0,58,,,,,6.1,,,,
214,703492,Nick Morabito,NYM,TEX,False,9,LF,R,official,preview,Cody Bradford,L,0.93,,0.09450813597819707,0.09329872788271376,0.09659387222506396,2.2822334811949463,0.4498340000000001,thin,,,1,1,1,1,1,1,106,106 air · 72°F · roof closed · RHB,0,39,,,,,0,,,,
215,665828,Oswaldo Cabrera,CIN,ATL,False,7,LF,S,official,preview,Chris Sale,L,0.52,,0.0944511167930368,0.09335001696476719,0.09672662565544726,2.491900109319486,0.5060000000000001,thin,,,1,1,1,1,1,1,107,107 air · 74°F · cross RF 12 · 68° dew · switch,0,14,,,,,0,,,,
216,805367,Chase Meidroth,CWS,KC,False,7,2B,R,official,preview,Seth Lugo,R,1.22,,0.09433609044403435,0.09409832237729243,0.09753233838159688,2.451427431804584,0.97,stable,,,1,1,1,1,1,1,94,94 air · 73°F · in RF 9 · 57° dew · RHB,16,634,,,,,4.7,,,,
217,680777,Ryan Jeffers,MIN,SF,False,4,C,R,official,final,Cesar Perdomo,L,1.46,,0.09398327177598417,0.09300707636889283,0.09643515073728337,2.735017373989771,0.5922432000000001,fair,,,1,1,1,1,1,1,78,78 air · 68°F · cross 7 · 60° dew · RHB,14,361,,,,,10.6,,,,
218,678882,Ceddanne Rafaela,BOS,CLE,True,6,CF,R,official,preview,Foster Griffin,L,1.24,,0.09371491385405495,0.0934609566990866,0.09687498784690651,2.494616015304728,0.97,stable,,,1,1,1,1,1,1,78,78 air · 59°F · in CF 16 · 49° dew · RHB,16,569,,,,,5.2,,,,
219,669242,Tommy Edman,LAD,SD,True,9,2B,S,projected,preview,Robbie Ray,L,1.22,,0.09369370708105562,0.09290486490875438,0.09617055564050989,2.2780541131456684,0.69588576,fair,,,1,1,1,1,1,1,108,108 air · 66° dew · switch,8,315,,,,,5.6,,,,
220,804606,Konnor Griffin,PIT,STL,True,1,SS,R,official,live,Matthew Liberatore,L,1.63,,0.09369218413485923,0.09343763459853693,0.09691727930249466,2.7067018918344417,0.97,stable,,,1,1,1,1,1,1,80,80 air · 65°F · in CF 12 · 51° dew · pull × porch · RHB,5,318,,,,,6.6,,,,
221,691781,Brady House,WSH,DET,False,3,3B,R,official,final,Framber Valdez,L,0.83,,0.09364571937031763,0.09338995887050328,0.09686835602130407,2.8552595229829447,0.97,stable,,,1,1,1,1,1,1,86,86 air · 65°F · in LF 14 · 52° dew · RHB,10,344,,,,,10,,,,
