rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,673357,Luis Robert Jr.,BAL,COL,False,4,LF,R,official,preview,Tomoyuki Sugano,R,1.93,51% hard · 27% break,0.16855824095128286,0.17818370267553862,0.17902957905884387,3,0.97,stable,,20% vs RHP last 10; 12.0% vs hard; trending +4 brl; 104.9 last game,1.1545345169050103,1.363998479219678,1.24,1.3807724320756074,1,1.22,124,124 air · 85°F · out LF 8 · 43° dew · RHB,10,218,.399,3,36,10,8.5,89.5,40.1,0.174,45.1
2,701398,Sal Stewart,CIN,SD,True,3,1B,R,official,live,Casey Mize,R,1.03,45% hard · 32% break,0.16824402674143357,0.17759816080511048,0.1786443707367874,3,0.97,stable,,23.8% vs RHP last 10; 12.6% vs SL; trending +5.9 brl; 107.4 last game,1.4160931016740688,1.0660285517601447,1.26,1.42,1,1.21040160364,126,126 air · 94°F · out LF 6 · 69° dew · RHB,31,606,.486,4,43,10,13.5,90.1,38.6,0.226,32
3,665487,Fernando Tatis Jr.,SD,CIN,False,1,2B,R,official,live,Brandon Williamson,L,1.36,57% hard · 18% break,0.16783668154548048,0.17871933800014883,0.18025393492917097,3,0.8935058,stable,,20% vs LHP last 10; 18.5% vs CH; trending +8.5 brl; 105.3 last game,1.2467211792824815,1.2503428239146088,1.26,1.42,1,1.22,126,126 air · 94°F · out LF 6 · 69° dew · RHB,19,608,.450,4,44,10,12.7,92.8,53.9,0.19,35
4,665742,Juan Soto,NYM,TB,False,2,DH,L,projected,preview,Griffin Jax,R,1.37,42% hard · 34% break,0.163981704878737,0.17470000816694875,0.17387837853527155,3,0.69588576,fair,Weather not posted; Projected order,22.2% vs RHP last 10; 33.3% vs break; trending +5.5 brl; 80% ideal AA,1.5768107677119345,1.1697768546602139,1.01,1.42,1,1.202156701005747,101,101 air · roof closed · LHB,22,372,.534,1,38,10,14.5,92.7,48.6,0.294,39.3
5,624413,Pete Alonso,BAL,COL,False,2,1B,R,official,preview,Tomoyuki Sugano,R,1.93,51% hard · 27% break,0.15998965435575563,0.166819605227442,0.1617022695608218,3,0.97,stable,,107.8 last game; 22.7% pull air; 59.1% ideal AA; 22.8% blast,1.541413253250473,1.2241368258155185,1.24,1.2095060393480668,1,0.9169472000000002,124,124 air · 85°F · out LF 8 · 43° dew · RHB,32,602,.499,2,43,10,13.7,94.1,56.7,0.259,34.6
6,669394,Jake Burger,TEX,ATH,True,5,1B,R,official,live,Jacob Lopez,L,1.36,58% hard · 34% break,0.1579998947174201,0.16016614273363594,0.1695842138721827,3,0.97,stable,,36.4% vs LHP last 10; 28.0% vs FF; trending +14.3 brl; 110.7 last game,1.3153648295753255,1.1414806496723802,1.08,1.42,1,1.22,108,108 air · 74°F · roof closed · RHB,23,524,.425,2,36,10,11.8,90.2,46.9,0.186,44
7,691718,Pete Crow-Armstrong,CHC,MIL,True,1,CF,L,projected,preview,Jacob Misiorowski,R,0.77,77% hard · 22% break,0.15716846721587482,0.1638154975103041,0.16775982226841912,3,0.69588576,fair,Weather not posted; Projected order,23.8% vs RHP last 10; 20.9% vs FF; 5 tanks last 10; trending +10.3 brl,1.5645606873939508,0.9969983547694853,1.07,1.42,1,1.22,107,107 air · 71° dew · LHB,38,622,.569,6,47,10,13,90.2,48.7,0.237,50.5
8,681715,Heriberto Hernández,MIA,KC,False,3,LF,R,projected,preview,Noah Cameron,L,0.9,50% hard · 29% break,0.15354608159974945,0.15990050299951764,0.16375153823361244,3,0.69588576,fair,Weather not posted; Projected order,28.6% vs LHP last 10; 25.1% vs FF; trending +11.2 brl; 108.6 last game,1.5024746712614507,1.1111616547242857,0.96,1.42,1,1.22,96,96 air · 66° dew · RHB,22,399,.460,4,44,10,13.8,91.2,47.6,0.236,47.6
9,701538,Jackson Merrill,SD,CIN,False,3,CF,L,official,live,Brandon Williamson,L,1.36,57% hard · 18% break,0.15290678308360586,0.15641738634363245,0.15928266358386745,3,0.8935058,stable,,22.2% vs LHP last 10; 9.9% vs hard; 3 tanks last 10; 4× 100+ last 3,1.2477741003683032,1.162970459091129,1.25,1.301423650387942,1,1.0858934513274336,125,125 air · 94°F · out LF 6 · 69° dew · LHB,22,575,.419,2,44,10,11.3,90.8,46.8,0.209,37.6
10,547180,Bryce Harper,PHI,AZ,False,3,DH,L,official,preview,Taylor Clarke,R,0.87,41% hard · 31% break,0.15139975271446648,0.15754036757978362,0.15651373578945527,3,0.97,stable,,18.8% vs RHP last 10; trending +3.1 brl; 101.8 last game; 28.6% pull air,1.3188767735855365,1.0158034079987908,1.06,1.42,1,1.22,106,106 air · 72°F · roof closed · LHB,27,595,.509,2,44,10,11.2,90.4,44.4,0.227,38.5
11,656941,Kyle Schwarber,PHI,AZ,False,1,1B,L,official,preview,Taylor Clarke,R,0.87,41% hard · 31% break,0.15029477227114918,0.15634671291902813,0.16101352911998956,3,0.97,stable,,17.6% vs RHP last 10; 9.8% vs break; 76.9% ideal AA; 16.7% blast,1.769279114809228,1.1183710557253073,1.06,1.42,1,0.8652000000000001,106,106 air · 72°F · roof closed · LHB,40,597,.521,3,47,10,17,92.5,49.5,0.255,54.1
12,696100,Hunter Goodman,COL,BAL,True,3,C,R,official,preview,Trevor Rogers,L,1.05,65% hard · 13% break,0.14812057025100922,0.15399803209806007,0.1577204434166558,3,0.97,stable,,12.5% vs LHP last 10; 11.0% vs FF; 81.0% ideal AA; 17.1% blast,1.7143296053369943,1.0245051534970488,1.24,1.3221325491850835,1,0.8652000000000001,124,124 air · 85°F · out LF 8 · 43° dew · RHB,36,492,.538,2,40,10,16.2,90.3,45.5,0.236,47.9
13,695578,James Wood,WSH,ATL,True,1,RF,L,official,live,Grant Holmes,R,1.3,49% hard · 45% break,0.147410670552091,0.14930094248191306,0.16587335645293377,3,0.97,stable,,24.5% blast; 39.2% sweet; 77 bat; 20.8% barrels,1.7937556657519809,1.089848927110349,1.04,1.38,1,0.9641793082181623,104,104 air · 88°F · in RF 7 · 72° dew · LHB,30,536,.534,2,43,10,20.8,95.1,57.6,0.309,32.6
14,691023,Jordan Walker,STL,LAD,False,3,RF,R,projected,preview,Yoshinobu Yamamoto,R,0.91,55% hard · 18% break,0.14574105379142557,0.15146500102256133,0.1530368434827848,3,0.69588576,fair,Weather not posted; Projected order,18.8% vs RHP last 10; 12.6% vs FF; 109.3 last game; 4× 100+ last 3,1.4200494373222665,1.0310729800009406,1.03,1.42,1,1.1572413044705883,103,103 air · 53° dew · RHB,28,577,.505,2,42,10,13.6,92.4,48.3,0.212,38.6
15,665019,Kody Clemens,MIN,DET,True,3,2B,L,projected,preview,Drew Anderson,R,1.36,42% hard · 30% off,0.14503596071973246,0.15070295197593753,0.15392802180815657,3,0.69588576,fair,Weather not posted; Projected order,28.6% vs RHP last 10; 12.6% vs FF; tank last game; trending +5.8 brl,1.4167152450944909,1.132944503256429,0.9,1.42,1,1.22,90,90 air · 65° dew · LHB,24,492,.472,3,40,10,12.4,92.5,47.1,0.215,47.1
16,608369,Corey Seager,TEX,ATH,True,2,SS,L,official,live,Jacob Lopez,L,1.36,58% hard · 34% break,0.1439251360855,0.1457245681061784,0.14781164671385605,3,0.97,stable,,15.4% vs LHP last 10; 19.8% vs SL; 108.5 last game; 5× 100+ last 3,1.3846705336485596,1.0699386775208601,1.11,1.2026449500843244,1,1.1328362226508109,111,111 air · 74°F · roof closed · LHB,13,336,.410,0,45,10,14.8,91.9,49,0.224,44.3
