rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,671277,Luis García Jr.,NYY,HOU,True,3,1B,L,projected,preview,Peter Lambert,R,0.88,52% hard · 25% break,0.20495639310174382,0.25238049492825787,0.22337608206614068,4.32,0.69588576,fair,Weather not posted; Projected order,21.4% vs RHP last 7; 16.3% vs hard; 111.1 last game; 35.3% pull air,1.4585689902000336,1.070580998728718,1.27,1.42,1,1.22,127,127 air · LHB,27,448,.554,3,41,10,12.6,91.8,46.6,0.218,42.3
2,678246,Miguel Vargas,CWS,TEX,True,3,3B,R,projected,preview,MacKenzie Gore,L,1.11,59% hard · 29% break,0.20050454841406778,0.24363239385890179,0.21807750783047142,4.32,0.69588576,fair,Weather not posted; Projected order,14.6% vs hard; 35.3% pull air; 58.8% ideal AA; 17.6% barrels last 7,1.541457135112417,1.1135063055026106,1.14,1.38,1,1.193798674326116,114,114 air · RHB,29,573,.496,2,45,10,14.6,90.7,45.8,0.255,45.7
3,682987,Spencer Jones,NYY,HOU,True,6,RF,L,projected,preview,Peter Lambert,R,0.88,52% hard · 25% break,0.194985748751538,0.2327876720376333,0.21106242956645035,3.96,0.69588576,fair,Weather not posted; Projected order,28.6% vs RHP last 7; 17.3% vs FF; 112 last game; 5× 100+ last 3,1.444679353344994,1.070580998728718,1.27,1.42,1,1.22,127,127 air · LHB,7,182,.429,2,38,10,16.2,95,59.2,0.229,31.3
4,624413,Pete Alonso,BAL,STL,False,2,1B,R,projected,preview,Michael McGreevy,R,1.18,53% hard · 27% break,0.19369590876045023,0.23025307090103708,0.21013503149446872,4.42,0.69588576,fair,Weather not posted; Projected order,20% vs RHP last 7; 14.6% vs FF; 111.3 last game; 5× 100+ last 3,1.5888070602414865,1.2104614959445568,0.87,1.42,1,1.1828589243697478,87,87 air · RHB,31,571,.512,5,42,10,14,94.1,56.7,0.266,34.5
5,679822,Justin Foscue,TEX,CWS,False,1,2B,R,projected,preview,Sean Burke,R,1.05,60% hard · 38% break,0.1930274649147813,0.22893954477168021,0.20945717192389374,4.52,0.69588576,fair,Weather not posted; Projected order,33.3% vs RHP last 7; 11.1% vs FF; 103.5 last game; 4× 100+ last 3,1.313992106839491,1.0350281029105353,1.14,1.42,1,1.22,114,114 air · RHB,9,188,.488,,,,11.2,89.3,42.4,0.206,47.2
6,656941,Kyle Schwarber,PHI,SEA,False,1,DH,L,projected,preview,Bryan Woo,R,0.98,66% hard · 28% break,0.1929165119872186,0.22872151663000984,0.20932605755406597,4.52,0.69588576,fair,Weather not posted; Projected order,18.8% vs RHP last 7; 19.8% vs SL; 21.1% pull air; 84.2% ideal AA,1.857231062926986,1.003476973174051,0.97,1.42,1,1.0445375297805646,97,97 air · LHB,39,568,.524,2,47,10,17.4,92.7,50.9,0.26,54.7
7,682998,Corbin Carroll,AZ,CHC,True,2,RF,L,projected,preview,Matthew Boyd,L,1.38,46% hard · 28% break,0.18925374745313148,0.2215239981662258,0.20489881353431186,4.42,0.69588576,fair,Weather not posted; Projected order,25% vs LHP last 7; 18.5% vs FF; 105 last game; 22.2% pull air,1.2073128931192012,1.2226292445404712,1.07,1.361245019235242,1,1.22,107,107 air · LHB,18,560,.488,0,43,10,12.2,91.8,49,0.196,44.1
8,696100,Hunter Goodman,COL,WSH,False,3,C,R,projected,preview,Matt Waldron,R,1.7,56% hard · 15% break,0.18430309567299105,0.21406849075294077,0.19898395309030883,4.32,0.583624944,fair,Weather not posted; Projected order,109.5 last game; 75.3 bat; 16.9% barrels; xISO 0.241,1.775546584908359,1.0780233466033646,1.05,1.38,1,0.9224096252692853,105,105 air · RHB,35,464,.545,2,38,10,16.9,90.5,45.9,0.241,47.8
9,695734,Daylen Lile,WSH,COL,True,4,LF,L,projected,preview,Tanner Gordon,R,1.88,46% hard · 32% break,0.18194715059852534,0.20716616400051935,0.1961245727577406,4.22,0.69588576,fair,Weather not posted; Projected order,15% vs RHP last 7; 19.8% vs FF; 104.1 last game; 5× 100+ last 3,1.0897289011491842,1.2963500277127322,1.05,1.3839760307525726,1,1.22,105,105 air · LHB,17,548,.418,2,44,10,8.7,88.5,37.1,0.173,41.7
10,665833,Oneil Cruz,PIT,SD,False,5,CF,L,projected,preview,Randy Vásquez,R,1.14,70% hard · 22% break,0.18113728340163057,0.2055747337983822,0.19504681368240342,4.1,0.69588576,fair,Weather not posted; Projected order,28.6% vs RHP last 7; 111.8 last game; 18.2% pull air; 27.3% barrels last 7,1.6164605873693592,1.1121630612004665,0.83,1.42,1,1.22,83,83 air · LHB,17,310,.491,,,,17.9,95.8,57.9,0.245,42.1
11,695657,Colson Montgomery,CWS,TEX,True,5,SS,L,projected,preview,MacKenzie Gore,L,1.11,59% hard · 29% break,0.18086423373806917,0.20503817733216012,0.19472926685144443,4.1,0.69588576,fair,Weather not posted; Projected order,104.8 last game; 20% pull air; 90% ideal AA; 20% barrels last 7,1.416075419645114,1.0025363903516609,1.1,1.35057862276299,1,1.22,110,110 air · LHB,27,528,.425,1,41,10,12.3,89,42.2,0.2,49.2
12,621566,Matt Olson,ATL,LAD,True,3,1B,L,projected,preview,Roki Sasaki,R,1.63,42% hard · 36% off,0.17938112608288473,0.202123795413086,0.19324112122138223,4.32,0.69588576,fair,Weather not posted; Projected order,10.4% vs FF; 101.5 last game; 4× 100+ last 3; 15.5% barrels,1.744282200195724,1.19013353726417,1.09,1.2945480479040998,1,0.7890623999999999,109,109 air · LHB,36,574,.533,1,41,10,15.5,92.6,49.9,0.267,38.2
13,700250,Ben Rice,NYY,HOU,True,2,DH,L,projected,preview,Peter Lambert,R,0.88,52% hard · 25% break,0.177972484531725,0.19935574317304428,0.19170004486232065,4.42,0.69588576,fair,Weather not posted; Projected order,102 last game; 18.8% pull air; 75% ideal AA; 14.6% barrels,1.6340086712246744,0.9493535994960196,1.27,1.2276045419160875,1,0.8998080000000002,127,127 air · LHB,34,541,.522,2,45,10,14.6,92.2,48.7,0.241,46.9
14,694212,Samuel Basallo,BAL,STL,False,6,C,L,projected,preview,Michael McGreevy,R,1.18,53% hard · 27% break,0.17755911991601292,0.1985434606945572,0.1907323589063287,3.96,0.69588576,fair,Weather not posted; Projected order,25% vs RHP last 7; 17.3% vs hard; 18.2% pull air; 63.6% ideal AA,1.407387458146487,1.2104614959445568,0.87,1.42,1,1.22,87,87 air · LHB,17,331,.439,,,,13.2,91.1,45.5,0.218,43.7
15,660271,Shohei Ohtani,LAD,ATL,False,1,DH,L,projected,preview,AJ Smith-Shawver,R,0,50% hard · 15% break,0.17661236519295143,0.20112405699229696,0.19021004275099035,4.52,0.44536688639999994,thin,Starter sample thin; Weather not posted; Projected order,12.5% vs RHP last 7; 11.1% vs hard; 102.6 last game; 72.7% ideal AA,1.658370185779623,1.0413113560460874,1.09,1.3087095876396362,1,0.8662424096385544,109,109 air · LHB,30,559,.546,3,46,10,16.6,93.5,52.3,0.282,47.7
16,671739,Michael Harris II,ATL,LAD,True,5,CF,L,projected,preview,Roki Sasaki,R,1.63,42% hard · 36% off,0.17618711924241007,0.19584740964113023,0.1893023389270635,4.1,0.69588576,fair,Weather not posted; Projected order,20% vs RHP last 7; 19.8% vs FF; 20% pull air; 75 bat,1.2501930224303544,1.2406266304378741,1.09,1.42,1,0.988778256184717,109,109 air · LHB,21,504,.491,1,40,10,10.7,90.5,48.6,0.188,37.1
