rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,691718,Pete Crow-Armstrong,CHC,BOS,False,1,CF,L,projected,preview,Brayan Bello,R,0.96,,0.18,0.2260038120901816,0.2484785487311525,3.2179830554796394,0.69588576,fair,,,1,1,1,1,1,1,88,88 air · 47° dew · LHB,45,719,,,,,13.5,,,,
2,624424,Michael Conforto,CHC,BOS,False,4,DH,L,projected,preview,Brayan Bello,R,0.96,,0.18,0.18870787552642065,0.20374083423570588,3.0044001093194863,0.69588576,fair,,,1,1,1,1,1,1,88,88 air · 47° dew · LHB,15,305,,,,,11.9,,,,
3,624413,Pete Alonso,BAL,NYY,False,2,1B,R,official,preview,Brendan Beck,R,4.7,,0.18,0.2468118442788675,0.27321408904107014,2.811299659618873,0.555228,fair,,,1,1,1,1,1,1,114,114 air · 71°F · cross RF 20 · 47° dew · RHB,41,690,,,,,15,,,,
4,691723,Coby Mayo,BAL,NYY,False,4,DH,R,official,preview,Brendan Beck,R,4.7,,0.18,0.217864666940075,0.23784528313229245,2.6840915302243533,0.555228,fair,,,1,1,1,1,1,1,116,116 air · 71°F · cross RF 20 · 47° dew · pull × porch · RHB,24,444,,,,,13.7,,,,
5,700250,Ben Rice,NYY,BAL,True,2,DH,L,official,preview,Trevor Rogers,L,1.03,,0.18,0.25101205960070083,0.27837481960136196,2.8259836801624174,0.97,stable,,,1,1,1,1,1,1,129,129 air · 71°F · cross RF 20 · 47° dew · pull × porch · LHB,41,658,,,,,14.1,,,,
6,682987,Spencer Jones,NYY,BAL,True,6,CF,L,official,preview,Trevor Rogers,L,1.03,,0.18,0.1882882217478109,0.20269838728493306,2.531876781321985,0.97,stable,,,1,1,1,1,1,1,128,128 air · 71°F · cross RF 20 · 47° dew · LHB,11,281,,,,,15.1,,,,
7,624413,Pete Alonso,BAL,NYY,False,2,1B,R,projected,preview,,,,,0.18,0.20430332929985462,0.22216947424888792,2.7541951352828646,0.4175314559999999,thin,,,1,1,1,1,1,1,121,121 air · 47° dew · RHB,41,690,,,,,15,,,,
8,671218,Heliot Ramos,NYY,BAL,True,3,RF,R,projected,preview,Brandon Young,R,1.31,,0.18,0.21410376469348458,0.23364767004250722,2.814956893338965,0.69588576,fair,,,1,1,1,1,1,1,121,121 air · 47° dew · RHB,13,434,,,,,13.8,,,,
9,700250,Ben Rice,NYY,BAL,True,4,1B,L,projected,preview,Brandon Young,R,1.31,,0.18,0.24935119940294737,0.27581758225250486,2.7497958541413037,0.69588576,fair,,,1,1,1,1,1,1,124,124 air · 47° dew · pull × porch · LHB,41,658,,,,,14.1,,,,
10,669224,Austin Wells,NYY,BAL,True,8,C,L,projected,preview,Brandon Young,R,1.31,,0.18,0.194652814111403,0.20950194766779062,2.3979262424739334,0.69588576,fair,,,1,1,1,1,1,1,125,125 air · 47° dew · pull × porch · LHB,14,384,,,,,7.7,,,,
11,664040,Brandon Lowe,PIT,DET,False,3,2B,L,projected,preview,Jackson Jobe,R,1.55,,0.18,0.22296810195519756,0.2440183655724432,2.6041775660797253,0.660351168,fair,,,1,1,1,1,1,1,99,99 air · 65°F · cross RF 7 · 48° dew · LHB,34,647,,,,,12.4,,,,
