rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,624413,Pete Alonso,BAL,COL,False,2,DH,R,projected,preview,Tanner Gordon,R,1.83,46% hard · 31% break,0.16820583968212233,0.18282946211454376,0.17863108526606686,3,0.69588576,fair,Weather not posted; Projected order,15.4% vs RHP last 10; 4S-FB 43%; 100.7 last game; heart vs in-zone,1.5590642929373124,1.2783564885961072,1.13,1.42,1,1.0775163453237413,113,113 air · 56° dew · RHB,32,594,.503,3,43,10,13.9,94.2,57.1,0.261,34.7
2,691718,Pete Crow-Armstrong,CHC,MIL,True,1,CF,L,projected,preview,Kyle Harrison,L,1.22,60% hard · 31% break,0.16353196879492415,0.17364506827899084,0.17335650626713162,3,0.69588576,fair,Weather not posted; Projected order,20% vs LHP last 10; 4S-FB 58%; 5 tanks last 10; trending +7.4 brl,1.5825676907096498,1.095237323610927,1.05,1.42,1,1.22,105,105 air · 71° dew · LHB,38,613,.577,7,47,10,13.2,90.2,49.1,0.239,50.4
3,681715,Heriberto Hernández,MIA,WSH,False,1,LF,R,projected,preview,Will Dion,L,1.57,55% hard · 20% break,0.16127885363827496,0.17101210883134987,0.17082082715808733,3,0.5977658678399999,fair,Weather not posted; Projected order,21.4% vs LHP last 10; 4S-FB 42%; trending +9.5 brl; 20–30° last 5,1.5085517318291322,1.1299315609997218,1.04,1.42,1,1.22,104,104 air · 70° dew · RHB,22,391,.467,4,44,10,13.6,91.3,47.7,0.237,46.9
4,701398,Sal Stewart,CIN,SD,True,3,1B,R,projected,preview,Michael King,R,1.04,48% hard · 27% off,0.15914255736669009,0.16577786499619962,0.168420807918078,3,0.69588576,fair,Weather not posted; Projected order,20% vs RHP last 10; Sweeper 20%; 101.7 last game; 80.6% ideal AA,1.4289970884482983,1.0385532126104868,1.14,1.42,1,1.211871041975309,114,114 air · 70° dew · RHB,31,595,.489,4,47,10,13.5,90.1,38.9,0.225,32.7
5,646240,Rafael Devers,SF,ATL,False,2,DH,L,projected,preview,Bryce Elder,R,1.38,65% hard · 23% break,0.1555369249028374,0.16188097692303094,0.16437926853511875,3,0.69588576,fair,Weather not posted; Projected order,25% vs RHP last 10; 3 tanks last 10; trending +5.6 brl; 5× 100+ last 3,1.3944024292105994,1.0615476955381318,1.09,1.42,1,1.22,109,109 air · 67° dew · LHB,29,582,.485,4,44,10,11.1,92.8,50.5,0.218,33.1
6,663886,Tyler Stephenson,CIN,SD,True,4,C,R,projected,preview,Michael King,R,1.04,48% hard · 27% off,0.15504335217213147,0.16134753439753458,0.16382692053221704,3,0.69588576,fair,Weather not posted; Projected order,21.4% vs RHP last 10; 4S-FB 19%; tank last game; 4× 100+ last 3,1.2901073959527118,1.0908589670646078,1.14,1.42,1,1.22,114,114 air · 70° dew · RHB,14,390,.427,2,43,10,12.7,91.1,45.5,0.209,36
7,682829,Elly De La Cruz,CIN,SD,True,2,SS,S,projected,preview,Michael King,R,1.04,48% hard · 27% off,0.15343904486697524,0.1596136344324559,0.16203305473531804,3,0.69588576,fair,Weather not posted; Projected order,16.7% vs RHP last 10; Sinker 28%; 114.7 last game; 62.1% ideal AA,1.3517126216649664,1.1074275641197908,1.15,1.3633956753535343,1,1.16250877440163,115,115 air · 70° dew · switch,21,529,.479,1,47,10,13.7,93.8,50.8,0.197,33.9
8,670541,Yordan Alvarez,HOU,CWS,True,2,LF,L,projected,preview,Anthony Kay,L,1.23,57% hard · 29% break,0.14824462887316392,0.1539996241481878,0.1562403896426392,3,0.69588576,fair,Weather not posted; Projected order,12.5% vs LHP last 10; 4S-FB 23%; 4× 100+ last 3; 58.3% ideal AA,1.8290502705575142,1.0908908891323073,1.06,1.3231333404476695,1,0.9171120000000001,106,106 air · 73° dew · LHB,37,593,.607,1,42,10,16.8,94.5,53.6,0.337,41.2
9,701538,Jackson Merrill,SD,CIN,False,5,CF,L,projected,preview,Brady Singer,R,1.7,59% hard · 41% break,0.14568802522116456,0.15123650328682015,0.15339798348340306,3,0.69588576,fair,Weather not posted; Projected order,101.1 last game; 25.9% pull air; 63.0% ideal AA; 38.1% sweet,1.2554282470638634,1.160754674598541,1.15,1.263919994098441,1,1.1748255365853661,115,115 air · 70° dew · LHB,22,563,.418,3,44,10,11.2,90.7,46.4,0.21,37.8
10,663457,Lars Nootbaar,AZ,PHI,True,1,DH,L,projected,preview,Aaron Nola,R,2.01,50% hard · 34% break,0.1438389636132747,0.14923807826747115,0.1513457473880907,3,0.69588576,fair,Weather not posted; Projected order,19.0% vs RHP last 10; 4S-FB 24%; tank last game; trending +8.4 brl,1.113165262966492,1.2247801946533194,1.06,1.3797254563431816,1,1.22,106,106 air · 69° dew · LHB,6,254,.379,,,,10.6,91.8,49.4,0.201,40.6
