rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,624413,Pete Alonso,BAL,ATH,False,2,DH,R,projected,preview,Jack Perkins,R,1.69,50% hard · 32% break,0.17467564766846289,0.1955429636256174,0.18596513023744643,3,0.69588576,fair,Weather not posted; Projected order,21.4% vs RHP last 10; 4S-FB 33%; 103.4 last game; 5× 100+ last 3,1.5674319941808261,1.2166330166808697,1.17,1.42,1,1.22,117,117 air · 51° dew · RHB,32,585,.508,4,42,10,14,94.2,57.1,0.264,34.8
2,621566,Matt Olson,ATL,COL,True,3,1B,L,official,preview,Zach Agnos,R,1.07,61% hard · 28% break,0.1725700891954016,0.18561349028114393,0.17524036256378328,3,0.873,stable,Starter outing length thin,18.8% vs RHP last 10; 4S-FB 25%; 4× 100+ last 3; 20% pull air,1.6966306275394238,1.1524715412329867,1.16,1.42,1,0.9768960000000002,116,116 air · 86°F · cross RF 6 · 72° dew · LHB,37,587,.532,1,42,10,15.6,92.7,50,0.271,39.2
3,700250,Ben Rice,NYY,BOS,True,2,DH,L,official,live,Jake Bennett,L,0.7,63% hard · 10% break,0.17056213047596258,0.1818675083035699,0.1810081933911939,3,0.97,stable,,16.7% vs LHP last 10; 4S-FB 35%; 105.1 last game; 25% pull air,1.646427454726833,1.0213120831749225,1.21,1.3671881852108951,1,1.22,121,121 air · 76°F · in CF 5 · 55° dew · pull × porch · LHB,35,555,.531,2,42,10,15.2,92.2,48.7,0.248,46.9
4,656941,Kyle Schwarber,PHI,LAA,False,1,DH,L,projected,preview,Ryan Johnson,R,2.14,57% hard · 20% break,0.16834514586217558,0.18310320583836803,0.17878859862220908,3,0.69588576,fair,Weather not posted; Projected order,27.8% vs RHP last 10; Cutter 35%; 107.6 last game; 23.1% pull air,1.8128150284136249,1.3075041693557279,0.84,1.42,1,1.22,84,84 air · 67° dew · LHB,40,578,.531,3,47,10,17.6,92.7,51,0.262,54.4
5,696100,Hunter Goodman,COL,ATL,False,3,C,R,official,preview,Martín Pérez,L,0.94,62% hard · 8% break,0.16452956163097596,0.1706133455794936,0.17448066201937396,3,0.97,stable,,Sinker 35%; 106.8 last game; 4× 100+ last 3; 76.9% ideal AA,1.7500110237074558,1.0024811890583383,1.1,1.38,1,1.146718551497006,110,110 air · 86°F · cross RF 6 · 72° dew · RHB,36,476,.549,3,39,10,16.7,90.4,45.7,0.242,47.8
6,681715,Heriberto Hernández,MIA,WSH,False,2,LF,R,official,preview,Cade Cavalli,R,1.03,52% hard · 40% break,0.16144601522894445,0.16486078247289226,0.1710087964712549,3,0.97,stable,,15.4% vs RHP last 10; 4S-FB 33%; trending +6.6 brl; 106.9 last game,1.4873574454220886,1.0599227121537196,1.11,1.3486521762311092,1,1.22,111,111 air · 84°F · cross LF 6 · 62° dew · RHB,21,381,.468,3,43,10,13.4,91.4,48.1,0.236,46.9
7,669394,Jake Burger,TEX,MIL,False,7,1B,R,projected,preview,Shane Drohan,L,0.77,61% hard · 34% break,0.15671972836841466,0.16315932483123274,0.1657037981971975,3,0.69588576,fair,Weather not posted; Projected order,30% vs LHP last 10; 4S-FB 29%; trending +23.7 brl; 102 last game,1.329053448392022,1.0590111423922468,1.16,1.42,1,1.22,116,116 air · 63° dew · RHB,23,508,.429,3,36,10,12,90.2,47.4,0.186,44
8,668709,JJ Bleday,CIN,CHC,False,4,LF,L,official,live,Kevin Gausman,R,1.08,51% hard · 9% break,0.14777897390404787,0.1496236136918201,0.15572225591701216,3,0.97,stable,,12.5% vs RHP last 10; 4S-FB 51%; 103.3 last game; 25% pull air,1.2933815986996646,1.0222081110581964,1.12,1.3503185674970277,1,1.22,112,112 air · 79°F · out CF 10 · 64° dew · LHB,21,447,.433,1,44,10,9.9,88.7,40.6,0.19,45.1
9,691023,Jordan Walker,STL,PIT,True,4,RF,R,official,preview,Lake Bachar,R,1.48,34% hard · 58% break,0.14708492441332932,0.14891147590122034,0.15495033806665826,3,0.97,stable,,17.6% vs RHP last 10; 4S-FB 29%; trending +3.3 brl; 100.4 last game,1.4039141115448461,1.143325591118967,0.88,1.42,1,1.206336,88,88 air · 84°F · in RF 7 · 65° dew · RHB,27,564,.504,3,43,10,13.4,92.5,48.2,0.21,38.4
10,547180,Bryce Harper,PHI,LAA,False,3,RF,L,projected,preview,Ryan Johnson,R,2.14,57% hard · 20% break,0.14663941385601265,0.15226474314799732,0.1544550644367546,3,0.69588576,fair,Weather not posted; Projected order,25% vs RHP last 10; Cutter 35%; trending +6.8 brl; 22.7% pull air,1.339131347561319,1.289692490815554,0.84,1.42,1,1.22,84,84 air · 67° dew · LHB,27,576,.504,2,43,10,11.4,90.4,44.6,0.23,38
