rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,608369,Corey Seager,TEX,TB,True,2,SS,L,official,preview,Ian Seymour,L,1.59,43% hard · 30% off,0.24942567467476473,0.25301335253726986,0.28127164328610754,3.172961647080259,0.97,stable,,30.8% vs LHP last 10; 19.7% vs CH; trending +5.2 brl; 24% pull air,1.2909905101000003,1.1932801583445807,1.12,1.42,1,1.22,112,112 air · 72°F · roof closed · LHB,14,352,.411,1,43,10,14.8,91.9,49.8,0.227,44.4
2,691718,Pete Crow-Armstrong,CHC,MIA,False,1,CF,L,official,preview,Tyler Phillips,R,1.14,33% hard · 43% break,0.2435092121654834,0.2469426953350522,0.2740745618670913,3.283679097617332,0.97,stable,,22.2% vs RHP last 10; 16.4% vs hard; 4 tanks last 10; trending +9.9 brl,1.5173546443507053,1.1732833446512658,0.9,1.42,1,1.22,90,90 air · 72°F · roof closed · LHB,39,641,.568,6,48,10,13.2,90.4,49,0.237,50.3
3,679822,Justin Foscue,TEX,TB,True,3,2B,R,official,preview,Ian Seymour,L,1.59,43% hard · 30% off,0.24292883679923563,0.24634719424101592,0.2727978615936889,3.101175184476633,0.97,stable,,20% vs LHP last 10; 12.6% vs FF; trending +6.9 brl; 72.7% ideal AA,1.266266725771417,1.2370349919232826,1.09,1.42,1,1.22,109,109 air · 72°F · roof closed · RHB,11,211,.505,3,28,10,11.3,89.6,41.8,0.21,46.1
4,682829,Elly De La Cruz,CIN,MIL,True,2,DH,S,official,live,Kyle Harrison,L,1.55,59% hard · 32% break,0.2319908606652934,0.2351241528558915,0.25865217355308034,2.5067674416413,0.97,stable,,37.5% vs LHP last 10; 15.4% vs hard; trending +9.1 brl; 115.2 last game,1.3021958404423004,1.19622430448596,1.19,1.42,1,1.19377,119,119 air · 77°F · cross RF 10 · 64° dew · switch,22,552,.483,1,44,10,14.4,94.2,51.9,0.202,33.3
5,660670,Ronald Acuña Jr.,ATL,PHI,False,2,RF,R,official,live,Aaron Nola,R,1.93,50% hard · 34% break,0.225652964548844,0.2286210786547327,0.24801615219249928,2.684477413813298,0.97,stable,,13.3% vs RHP last 10; 17.3% vs FF; 109 last game; 6× 100+ last 3,1.2265848452833579,1.2694883550975202,1.16,1.2751018672698573,1,1.22,116,116 air · 77°F · in CF 8 · 62° dew · RHB,15,393,.431,2,44,10,12.4,90.4,45.8,0.219,36.9
6,695657,Colson Montgomery,CWS,MIN,True,5,SS,L,projected,preview,Bailey Ober,R,1.43,35% hard · 34% off,0.2250535410902405,0.23420466119031602,0.25695423477768464,2.5473262275667303,0.69588576,fair,Weather not posted; Projected order,14.3% vs RHP last 10; tank last game; trending +3.9 brl; 33.3% pull air,1.3924031504019099,1.1932090457542075,1.13,1.4192226534283248,1,1.22,113,113 air · 59° dew · LHB,31,566,.441,4,43,10,12.8,88.8,42,0.207,48.9
7,624413,Pete Alonso,BAL,BOS,True,2,1B,R,official,live,Payton Tolle,L,1.03,88% hard · 9% break,0.2213932686278074,0.22425036664874398,0.24588501449379407,2.777521651855133,0.97,stable,,27.3% vs LHP last 10; 17.3% vs FF; 4× 100+ last 3; heart vs in-zone,1.4853287983792598,1.0797583091149567,1.04,1.42,1,1.1444453349544077,104,104 air · 77°F · in CF 5 · 58° dew · RHB,33,619,.495,1,43,10,14.1,94.2,57,0.259,35
8,672960,Kazuma Okamoto,TOR,KC,False,5,3B,R,official,preview,Randy Dobnak,R,0.78,49% hard · 30% break,0.21254745879359943,0.21517401754736087,0.2346006366108409,2.867049284868361,0.97,stable,,22.2% vs RHP last 10; 16.3% vs break; trending +10.5 brl; 29.4% pull air,1.341814015877617,1.056846027820324,1.07,1.42,1,1.22,107,107 air · 95°F · cross LF 6 · 71° dew · RHB,28,560,.445,2,40,10,13,90.6,44,0.211,51.3
9,691406,Junior Caminero,TB,TEX,False,3,3B,R,official,preview,MacKenzie Gore,L,1.05,59% hard · 29% break,0.21200993961554282,0.21462248955838426,0.2341800707053452,2.701328231757311,0.97,stable,,19.7% vs FF; 107 last game; 56% ideal AA; 12% barrels last 10,1.4817338749097857,1.1145580279936702,1.09,1.3215656132932756,1,1.1001436094674557,109,109 air · 72°F · roof closed · RHB,38,620,.532,3,45,10,13,93.1,50.7,0.22,45.9
10,808959,Munetaka Murakami,CWS,MIN,True,3,1B,L,projected,preview,Bailey Ober,R,1.43,35% hard · 34% off,0.21196592912130718,0.22005985871826916,0.24062770967846125,2.684012025143482,0.69588576,fair,Weather not posted; Projected order,14.3% vs RHP last 10; 107.6 last game; 40% pull air; 13.3% barrels last 10,1.6289757267477083,1.1646343541008666,1.13,1.4192226534283248,1,0.899449379310345,113,113 air · 59° dew · LHB,30,468,.482,1,44,10,19.2,93.9,57.1,0.26,44.6
11,681508,Mickey Gasper,BOS,BAL,False,2,1B,S,official,live,Kyle Bradish,R,1.03,53% hard · 46% break,0.210447523994096,0.21301935430141028,0.23251806219504242,2.8178886431961043,0.97,stable,,21.4% vs RHP last 10; 14.6% vs hard; 3 tanks last 10; trending +9.9 brl,1.1610231427697175,1.1275222206986664,1.09,1.42,1,1.22,109,109 air · 77°F · in CF 5 · 58° dew · switch,8,183,.503,5,39,10,10.1,89,38,0.201,42.6
12,695578,James Wood,WSH,LAD,False,1,RF,L,projected,preview,Justin Wrobleski,L,1.4,59% hard · 36% break,0.20511175927354258,0.21343106933586709,0.23334117636889393,3.1490907561965225,0.656496,fair,Weather not posted; Projected order,109.4 last game; 24.7% blast; 39.1% sweet; 76.9 bat,1.655281695342626,1.1768667295588535,1.1,1.2654719472617664,1,0.84,110,110 air · 71° dew · LHB,30,549,.533,0,46,10,20.9,95.2,57.9,0.305,32.7
13,646240,Rafael Devers,SF,NYM,False,2,DH,L,official,preview,Christian Scott,R,0.95,67% hard · 29% break,0.2036526478787713,0.20604739030046149,0.22410188383012486,2.5497676960918287,0.97,stable,,31.6% vs RHP last 10; 17.3% vs FF; trending +11.6 brl; 109.7 last game,1.4634183563503824,1.0671784264038513,0.92,1.42,1,1.22,92,92 air · 72°F · in CF 8 · 61° dew · LHB,35,611,.519,6,47,10,12.4,93.1,51.5,0.232,33.5
