rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,691023,Jordan Walker,STL,COL,False,3,RF,R,projected,preview,Ryan Feltner,R,1.68,42% hard · 40% break,0.1675272761816875,0.1816266234688152,0.17786408557054,3,0.69588576,fair,Weather not posted; Projected order,17.6% vs RHP last 10; 4S-FB 28%; 106.8 last game; 5× 100+ last 3,1.4154110465678285,1.2519783496037478,1.11,1.42,1,1.22,111,111 air · 44° dew · RHB,28,586,.506,1,42,10,13.5,92.6,48.9,0.21,38.9
2,681715,Heriberto Hernández,MIA,CHC,True,1,LF,R,projected,preview,Shota Imanaga,L,1.98,48% hard · 33% off,0.16474145619753358,0.17615234561499082,0.17471955450070142,3,0.69588576,fair,Weather not posted; Projected order,27.3% vs LHP last 10; 4S-FB 41%; trending +8.9 brl; 105.4 last game,1.5258924462200547,1.3291220489609006,0.92,1.42,1,1.22,92,92 air · 78° dew · RHB,23,408,.472,4,45,10,13.8,91.3,47.4,0.239,47.4
3,808959,Munetaka Murakami,CWS,MIN,True,2,1B,L,projected,preview,Zebby Matthews,R,1.53,53% hard · 34% break,0.1641987724379425,0.17508594444633752,0.17410780704121032,3,0.69588576,fair,Weather not posted; Projected order,16.7% vs RHP last 10; 4S-FB 36%; 107.2 last game; 46.7% pull air,1.7724173468117073,1.2587299825412532,1.13,1.42,1,0.8935459310344829,113,113 air · 74° dew · LHB,29,460,.481,0,45,10,19.5,93.9,56.8,0.264,45
4,695600,Carter Jensen,KC,TOR,True,1,C,L,projected,preview,Jameson Taillon,R,2.79,56% hard · 28% break,0.16307678958854385,0.17288119112423828,0.17284387618291186,3,0.69588576,fair,Weather not posted; Projected order,33.3% vs RHP last 10; 4S-FB 28%; 3 tanks last 10; trending +11.3 brl,1.2761561519572904,1.4594360498202918,0.97,1.42,1,1.22,97,97 air · 68° dew · LHB,22,525,.442,5,44,10,11.4,91.4,45.1,0.182,40.1
5,665019,Kody Clemens,MIN,CWS,False,3,2B,L,projected,preview,Erick Fedde,R,1.61,51% hard · 37% break,0.1626530330409659,0.1720484879714811,0.17236680183767716,3,0.69588576,fair,Weather not posted; Projected order,28.6% vs RHP last 10; trending +7.8 brl; 40% pull air; 90% ideal AA,1.4040926651050971,1.1292218203409958,1.13,1.42,1,1.22,113,113 air · 74° dew · LHB,24,498,.468,3,42,10,12.2,92.5,47,0.214,47.5
6,682829,Elly De La Cruz,CIN,MIL,True,2,DH,S,projected,preview,Shane Drohan,L,0.82,61% hard · 34% break,0.1605737014610212,0.16791723563379024,0.17002817474672127,3,0.6983999999999999,fair,Projected order,28.6% vs LHP last 10; 4S-FB 28%; trending +3.3 brl; 113.3 last game,1.3541035896349811,1.0233888673828058,1.24,1.42,1,1.22,124,124 air · 95°F · 4 mph · 73° dew · switch,21,541,.476,0,44,10,14.1,94,51.1,0.198,33.3
7,680777,Ryan Jeffers,MIN,CWS,False,4,C,R,projected,preview,Erick Fedde,R,1.61,51% hard · 37% break,0.1586319533336203,0.16535658853415824,0.16784777253481487,3,0.69588576,fair,Weather not posted; Projected order,17.6% vs RHP last 10; 103.6 last game; 4× 100+ last 3; 26.1% pull air,1.267314816320579,1.1287333107607112,1.17,1.42,1,1.22,117,117 air · 74° dew · RHB,13,306,.506,3,43,10,11.3,88.8,40.4,0.194,38.5
8,701398,Sal Stewart,CIN,MIL,True,3,1B,R,projected,preview,Shane Drohan,L,0.82,61% hard · 34% break,0.15818749301202584,0.16483247433279458,0.16734915693451613,3,0.6983999999999999,fair,Projected order,14.3% vs LHP last 10; 4S-FB 28%; trending +7.4 brl; 105 last game,1.4127438411543614,1.01426941840585,1.23,1.3517428551681239,1,1.21040160364,123,123 air · 95°F · 4 mph · 73° dew · RHB,31,607,.485,4,44,10,13.3,90.1,38.7,0.226,31.7
9,691718,Pete Crow-Armstrong,CHC,MIA,False,1,CF,L,projected,preview,Janson Junk,R,1.05,39% hard · 43% break,0.15519051724898036,0.16163716028758768,0.1639915877035898,3,0.69588576,fair,Weather not posted; Projected order,18.8% vs RHP last 10; 4S-FB 35%; 4 tanks last 10; trending +7.7 brl,1.5756618400451847,1.1103959819105715,0.92,1.42,1,1.22,92,92 air · 78° dew · LHB,39,631,.571,6,47,10,13.1,90.3,48.6,0.239,50.1
10,694192,Jackson Chourio,MIL,CIN,False,1,LF,R,projected,preview,Rhett Lowder,R,1.29,50% hard · 30% break,0.15189069646624542,0.15803036250343472,0.16030390760209257,3,0.6983999999999999,fair,Projected order,14.3% vs RHP last 10; 4S-FB 21%; 109.5 last game; 83.9% ideal AA,1.3383000388283186,1.1334486320280155,1.23,1.3045162876197207,1,1.1022898535745047,123,123 air · 95°F · 4 mph · 73° dew · RHB,21,480,.483,4,48,10,12.9,92,47.7,0.211,29.4
