rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,621566,Matt Olson,ATL,COL,True,3,1B,L,projected,preview,Tomoyuki Sugano,R,1.92,51% hard · 27% break,0.1747265554481444,0.19564300000000012,0.18602298999981903,3,0.69588576,fair,Weather not posted; Projected order,25% vs RHP last 10; 4S-FB 20%; 106.4 last game; 5× 100+ last 3,1.7101799106411453,1.3911530230752052,1.1,1.42,1,1.22,110,110 air · 70° dew · LHB,37,582,.535,1,41,10,15.8,92.7,50.3,0.274,38.8
2,686948,Drake Baldwin,ATL,COL,True,1,C,L,projected,preview,Tomoyuki Sugano,R,1.92,51% hard · 27% break,0.1610833316175214,0.16883337177722357,0.17060099889044955,3,0.69588576,fair,Weather not posted; Projected order,20% vs RHP last 10; tank last game; 20–30° last 5; 20.8% pull air,1.3769597248948913,1.2618075854872797,1.1,1.42,1,1.103877407455481,110,110 air · 70° dew · LHB,22,491,.456,2,43,10,13.3,91.8,52.1,0.225,31.6
3,665953,Andrés Chaparro,WSH,MIA,True,3,1B,R,projected,preview,Eury Pérez,R,0.92,55% hard · 36% break,0.1605735875778456,0.16810838818782725,0.17002804676798,3,0.68027496192,fair,Weather not posted; Projected order,21.1% vs RHP last 10; 4S-FB 39%; 3 tanks last 10; 105.9 last game,1.4769322352084195,1.0964580809535736,1.06,1.42,1,1.22,106,106 air · 71° dew · RHB,9,159,.529,,,,14.7,89.4,47.1,0.241,52
4,700250,Ben Rice,NYY,BOS,True,2,DH,L,projected,preview,Patrick Sandoval,L,1.13,41% hard · 35% break,0.16000377526749746,0.16789326051206144,0.16938785242518228,3,0.62908072704,fair,Weather not posted; Projected order,Slider 27%; 109.2 last game; 20.8% pull air; 75% ideal AA,1.6437410785617663,1.0500767698979647,1.23,1.3628326595965934,1,1.0255330526315791,123,123 air · 67° dew · pull × porch · LHB,35,550,.531,3,46,10,15,92.2,48.7,0.246,46.9
5,695506,Jac Caglianone,KC,CLE,False,3,RF,L,projected,preview,Tanner Bibee,R,1.5,69% hard · 16% break,0.1584635687391378,0.16504402905727578,0.16765885045880968,3,0.69588576,fair,Weather not posted; Projected order,33.3% vs RHP last 10; Cutter 24%; tank last game; 4× 100+ last 3,1.486323234539092,1.1779081528814606,0.95,1.42,1,1.22,95,95 air · 55° dew · LHB,23,479,.500,2,40,10,14.7,93.2,55,0.234,45
6,656941,Kyle Schwarber,PHI,LAA,False,1,DH,L,projected,preview,Reid Detmers,L,1.03,47% hard · 43% break,0.15486295491655383,0.16115256502094377,0.16362509501680822,3,0.69588576,fair,Weather not posted; Projected order,Slider 32%; tank last game; 24% pull air; 84% ideal AA,1.8272535870094946,1.0773285833035215,0.85,1.38,1,1.1978290055865926,85,85 air · 67° dew · LHB,40,573,.531,3,47,10,17.9,92.7,51,0.264,54.8
7,681715,Heriberto Hernández,MIA,WSH,False,3,LF,R,projected,preview,Jackson Kent,L,0.73,44% hard · 33% break,0.15159195039676132,0.16252657073695065,0.1599705195776827,3,0.40083019776,thin,Starter sample thin; Weather not posted; Starter outing length thin; Projected order,30% vs LHP last 10; 4S-FB 41%; 103.1 last game; 29.2% pull air,1.458135202987968,1.0481001436808632,1.06,1.42,1,1.22,106,106 air · 71° dew · RHB,20,377,.460,3,44,10,13.1,91.5,48.3,0.23,47.5
8,671277,Luis García Jr.,NYY,BOS,True,3,1B,L,projected,preview,Patrick Sandoval,L,1.13,41% hard · 35% break,0.14997635285201197,0.15690976073004403,0.1581689355193694,3,0.62908072704,fair,Weather not posted; Projected order,Slider 27%; 3 tanks last 10; 105.5 last game; 26.9% pull air,1.4735608037049703,1.0793789946529004,1.22,1.116236813544606,1,1.22,122,122 air · 67° dew · LHB,28,457,.557,4,42,10,12.6,91.6,46.2,0.221,42.3
9,694192,Jackson Chourio,MIL,TEX,True,1,LF,R,projected,preview,Cody Bradford,L,0.44,50% hard · 14% break,0.14236794917020054,0.1519504001289299,0.14971520759540013,3,0.40083019776,thin,Starter sample thin; Weather not posted; Starter outing length thin; Projected order,4S-FB 50%; tank last game; 6× 100+ last 3; 66.7% ideal AA,1.3328929419886018,1.1844089350883444,1.16,1.186224318483907,1,1.1515449110581333,116,116 air · 59° dew · RHB,19,447,.477,2,45,10,13.3,91.9,47.7,0.22,28.9
10,681508,Mickey Gasper,BOS,NYY,False,5,DH,S,projected,preview,Cam Schlittler,R,0.8,90% hard · 10% break,0.14190773897053371,0.14751379774788287,0.14920547245711768,3,0.66942775296,fair,Weather not posted; Projected order,29.4% vs RHP last 10; 4S-FB 44%; 66.7% ideal AA; 27.8% barrels last 10,1.0821700451357692,1.048437051968374,1.21,1.42,1,1.22,121,121 air · 67° dew · switch,5,152,.466,5,37,10,9,88.8,37.8,0.183,42.3
